[1050, 693]
[paragraph, [83.0, 426.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 444.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 462.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 480.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 498.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 516.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 534.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 552.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 570.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 588.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 606.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 624.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 642.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 660.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 678.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 696.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 714.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [83.0, 732.0, 527.0, 18.0], shoonya_0sYA68DAEOGD9E, 5702369]
[paragraph, [82.0, 753.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 771.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 789.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 807.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 825.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 843.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 861.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 879.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 897.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [82.0, 915.0, 532.0, 18.0], duLHmvYHip, 5702369]
[paragraph, [139.0, 940.0, 478.0, 18.0], -DO0GSnf80, 5702369]
[paragraph, [139.0, 958.0, 478.0, 18.0], -DO0GSnf80, 5702369]
