[1091, 689]
[paragraph, [64.0, 108.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 126.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 144.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 162.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 180.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 198.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 216.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 234.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 252.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 270.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 288.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 306.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 324.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 342.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 360.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 378.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [64.0, 396.0, 556.0, 18.0], shoonya_1sC48YJTR5HHKF, 5759760]
[paragraph, [66.0, 425.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 443.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 461.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 479.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 497.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 515.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 533.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 551.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 569.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 587.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 605.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 623.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 641.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 659.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 677.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 695.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 713.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 731.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 749.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 767.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 785.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 803.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 821.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 839.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 857.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 875.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
[paragraph, [66.0, 893.0, 555.0, 18.0], shoonya_0s6GXQCCWB98CR, 5759760]
