[2000, 1414]
[headline, [76.0, 77.0, 665.0, 67.5], shoonya_5s9XXGBI77TYEA, 6516039]
[headline, [76.0, 144.5, 665.0, 67.5], shoonya_5s9XXGBI77TYEA, 6516039]
[headline, [76.0, 212.0, 665.0, 67.5], shoonya_5s9XXGBI77TYEA, 6516039]
[headline, [76.0, 279.5, 665.0, 67.5], shoonya_5s9XXGBI77TYEA, 6516039]
[headline, [76.0, 347.0, 665.0, 67.5], shoonya_5s9XXGBI77TYEA, 6516039]
[paragraph, [936.0, 416.0, 348.0, 36.0], shoonya_2sNIGY7XQIE3U4, 6516039]
[paragraph, [936.0, 452.0, 348.0, 36.0], shoonya_2sNIGY7XQIE3U4, 6516039]
[paragraph, [936.0, 488.0, 348.0, 36.0], shoonya_2sNIGY7XQIE3U4, 6516039]
[paragraph, [936.0, 524.0, 348.0, 36.0], shoonya_2sNIGY7XQIE3U4, 6516039]
[paragraph, [506.0, 1549.0, 387.0, 36.0], shoonya_4sVBTJMDIX59MX, 6516039]
[paragraph, [506.0, 1585.0, 387.0, 36.0], shoonya_4sVBTJMDIX59MX, 6516039]
[paragraph, [506.0, 1621.0, 387.0, 36.0], shoonya_4sVBTJMDIX59MX, 6516039]
[paragraph, [506.0, 1657.0, 387.0, 36.0], shoonya_4sVBTJMDIX59MX, 6516039]
[paragraph, [506.0, 1693.0, 387.0, 36.0], shoonya_4sVBTJMDIX59MX, 6516039]
[paragraph, [506.0, 1729.0, 387.0, 36.0], shoonya_4sVBTJMDIX59MX, 6516039]
[paragraph, [506.0, 1765.0, 387.0, 36.0], shoonya_4sVBTJMDIX59MX, 6516039]
[paragraph, [927.0, 1553.0, 387.0, 36.0], Bnp184EhWe, 6516039]
[paragraph, [927.0, 1589.0, 387.0, 36.0], Bnp184EhWe, 6516039]
[paragraph, [927.0, 1625.0, 387.0, 36.0], Bnp184EhWe, 6516039]
[paragraph, [927.0, 1661.0, 387.0, 36.0], Bnp184EhWe, 6516039]
[paragraph, [927.0, 1697.0, 387.0, 36.0], Bnp184EhWe, 6516039]
[paragraph, [927.0, 1733.0, 387.0, 36.0], Bnp184EhWe, 6516039]
[paragraph, [927.0, 1769.0, 387.0, 36.0], Bnp184EhWe, 6516039]
[paragraph, [79.0, 1590.0, 380.0, 36.0], shoonya_7sDFO46BC70W3W, 6516039]
[paragraph, [79.0, 1626.0, 380.0, 36.0], shoonya_7sDFO46BC70W3W, 6516039]
[paragraph, [79.0, 1662.0, 380.0, 36.0], shoonya_7sDFO46BC70W3W, 6516039]
[paragraph, [79.0, 1698.0, 380.0, 36.0], shoonya_7sDFO46BC70W3W, 6516039]
[paragraph, [79.0, 1734.0, 380.0, 36.0], shoonya_7sDFO46BC70W3W, 6516039]
[paragraph, [79.0, 1770.0, 380.0, 36.0], shoonya_7sDFO46BC70W3W, 6516039]
