[1034, 680]
[paragraph, [67.0, 189.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 207.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 225.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 243.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 261.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 279.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 297.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 315.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 333.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 351.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 369.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 387.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 405.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 423.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 441.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 459.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 477.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 495.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 513.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 531.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 549.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 567.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 585.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 603.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 621.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 639.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 657.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 675.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 693.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [67.0, 711.0, 537.0, 18.0], shoonya_0sABILCF61IBUE, 5740023]
[paragraph, [65.0, 751.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 769.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 787.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 805.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 823.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 841.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 859.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 877.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 895.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 913.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 931.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
[paragraph, [65.0, 949.0, 539.0, 18.0], o5lNt-cb5_, 5740023]
