[872, 605]
[folio, [455.0, 35.0, 95.0, 18.0], BqGcDeCTRU, 6456809]
[paragraph, [301.0, 74.0, 252.0, 18.0], wfTOMp95Gl, 6456809]
[paragraph, [301.0, 92.0, 252.0, 18.0], wfTOMp95Gl, 6456809]
[paragraph, [301.0, 110.0, 252.0, 18.0], wfTOMp95Gl, 6456809]
[paragraph, [301.0, 128.0, 252.0, 18.0], wfTOMp95Gl, 6456809]
[paragraph, [43.0, 77.0, 254.0, 18.0], 897DQrNfEK, 6456809]
[paragraph, [43.0, 95.0, 254.0, 18.0], 897DQrNfEK, 6456809]
[paragraph, [43.0, 113.0, 254.0, 18.0], 897DQrNfEK, 6456809]
[paragraph, [43.0, 147.0, 254.0, 18.0], BT_M1hxKmz, 6456809]
[paragraph, [300.0, 163.0, 207.0, 18.0], GikDlasH9f, 6456809]
[paragraph, [42.0, 168.0, 254.0, 18.0], OiKqRmV2aT, 6456809]
[paragraph, [42.0, 186.0, 254.0, 18.0], OiKqRmV2aT, 6456809]
[paragraph, [312.0, 189.0, 158.0, 18.0], Vx0W9cQ90i, 6456809]
[paragraph, [300.0, 208.0, 252.0, 18.0], MwPjNchen-, 6456809]
[paragraph, [45.0, 221.0, 230.0, 18.0], LuiMjXoaNT, 6456809]
[paragraph, [310.0, 230.0, 183.0, 18.0], 1NJBboM2mo, 6456809]
[paragraph, [40.0, 245.0, 255.0, 18.0], TYjjr0BySt, 6456809]
[paragraph, [298.0, 249.0, 261.0, 18.0], 1UsLLRpZdL, 6456809]
[paragraph, [298.0, 267.0, 261.0, 18.0], 1UsLLRpZdL, 6456809]
[paragraph, [40.0, 281.0, 257.0, 18.0], he5yVKwwMo, 6456809]
[paragraph, [40.0, 299.0, 257.0, 18.0], he5yVKwwMo, 6456809]
[paragraph, [301.0, 289.0, 242.0, 18.0], DkFdgwsk_N, 6456809]
[paragraph, [301.0, 307.0, 242.0, 18.0], DkFdgwsk_N, 6456809]
[paragraph, [37.0, 321.0, 261.0, 18.0], _u1J_1nhIp, 6456809]
[paragraph, [37.0, 339.0, 261.0, 18.0], _u1J_1nhIp, 6456809]
[paragraph, [301.0, 329.0, 256.0, 18.0], L1IK38Fbx2, 6456809]
[paragraph, [301.0, 347.0, 256.0, 18.0], L1IK38Fbx2, 6456809]
[paragraph, [301.0, 365.0, 256.0, 18.0], L1IK38Fbx2, 6456809]
[paragraph, [47.0, 373.0, 123.0, 18.0], vKDq4Z3pZz, 6456809]
[paragraph, [300.0, 384.0, 260.0, 18.0], WMbtLX48vX, 6456809]
[paragraph, [300.0, 402.0, 260.0, 18.0], WMbtLX48vX, 6456809]
[paragraph, [37.0, 395.0, 260.0, 18.0], hJZHfJIvYd, 6456809]
[paragraph, [40.0, 414.0, 246.0, 18.0], lXpq03VxyR, 6456809]
[paragraph, [40.0, 432.0, 246.0, 18.0], lXpq03VxyR, 6456809]
[paragraph, [302.0, 421.0, 225.0, 18.0], EET4idai6U, 6456809]
[paragraph, [41.0, 451.0, 258.0, 18.0], 9VvCgZ7PgU, 6456809]
[paragraph, [41.0, 469.0, 258.0, 18.0], 9VvCgZ7PgU, 6456809]
[paragraph, [314.0, 462.0, 162.0, 18.0], ZoI1OkicuN, 6456809]
[paragraph, [300.0, 483.0, 250.0, 18.0], XBmjLKiam5, 6456809]
[paragraph, [46.0, 488.0, 253.0, 18.0], ZbL1Wr6QKD, 6456809]
[paragraph, [46.0, 506.0, 253.0, 18.0], ZbL1Wr6QKD, 6456809]
[paragraph, [303.0, 501.0, 241.0, 18.0], -Qe-YJQyqZ, 6456809]
[paragraph, [303.0, 519.0, 241.0, 18.0], -Qe-YJQyqZ, 6456809]
[paragraph, [46.0, 527.0, 252.0, 18.0], qh3mpMEGUt, 6456809]
[paragraph, [46.0, 545.0, 252.0, 18.0], qh3mpMEGUt, 6456809]
[paragraph, [301.0, 539.0, 196.0, 18.0], k0hFYmuYOL, 6456809]
[paragraph, [301.0, 558.0, 256.0, 18.0], fvm65G8R8O, 6456809]
[paragraph, [301.0, 576.0, 256.0, 18.0], fvm65G8R8O, 6456809]
[paragraph, [301.0, 594.0, 256.0, 18.0], fvm65G8R8O, 6456809]
[paragraph, [301.0, 612.0, 256.0, 18.0], fvm65G8R8O, 6456809]
[paragraph, [301.0, 630.0, 256.0, 18.0], fvm65G8R8O, 6456809]
[paragraph, [48.0, 566.0, 248.0, 18.0], Zv1Pdc75WA, 6456809]
[paragraph, [48.0, 584.0, 248.0, 18.0], Zv1Pdc75WA, 6456809]
[paragraph, [48.0, 602.0, 248.0, 18.0], Zv1Pdc75WA, 6456809]
[paragraph, [48.0, 620.0, 248.0, 18.0], Zv1Pdc75WA, 6456809]
[paragraph, [48.0, 638.0, 248.0, 18.0], Zv1Pdc75WA, 6456809]
[paragraph, [48.0, 656.0, 248.0, 18.0], Zv1Pdc75WA, 6456809]
[paragraph, [48.0, 674.0, 248.0, 18.0], Zv1Pdc75WA, 6456809]
[paragraph, [48.0, 692.0, 248.0, 18.0], Zv1Pdc75WA, 6456809]
[paragraph, [314.0, 664.0, 97.0, 18.0], 7edCuACgeM, 6456809]
[paragraph, [303.0, 682.0, 256.0, 18.0], ap5Nrs3MuD, 6456809]
[paragraph, [315.0, 706.0, 224.0, 18.0], wZCI3ItnJJ, 6456809]
[reference, [49.0, 727.0, 249.0, 18.0], pMOHJOzZMf, 6456809]
[reference, [49.0, 745.0, 249.0, 18.0], pMOHJOzZMf, 6456809]
[reference, [49.0, 763.0, 249.0, 18.0], pMOHJOzZMf, 6456809]
[reference, [49.0, 781.0, 249.0, 18.0], pMOHJOzZMf, 6456809]
[reference, [49.0, 799.0, 249.0, 18.0], pMOHJOzZMf, 6456809]
[reference, [305.0, 729.0, 251.0, 18.0], xOxBzrgpBk, 6456809]
[reference, [305.0, 747.0, 251.0, 18.0], xOxBzrgpBk, 6456809]
[reference, [305.0, 765.0, 251.0, 18.0], xOxBzrgpBk, 6456809]
[reference, [305.0, 783.0, 251.0, 18.0], xOxBzrgpBk, 6456809]
[reference, [305.0, 801.0, 251.0, 18.0], xOxBzrgpBk, 6456809]
