[2339, 1653]
[paragraph, [116.0, 175.0, 673.0, 36.0], V9PU7Y2Qzp, 5750604]
[paragraph, [116.0, 211.0, 673.0, 36.0], V9PU7Y2Qzp, 5750604]
[paragraph, [132.0, 269.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 305.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 341.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 377.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 413.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 449.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 485.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 521.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 557.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 593.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 629.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 665.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 701.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 737.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [132.0, 773.0, 1400.0, 36.0], shoonya_1sYYC2LVQJX1X9, 5750604]
[paragraph, [107.0, 844.0, 1450.0, 36.0], 0d_pPGyQQh, 5750604]
[paragraph, [107.0, 880.0, 1450.0, 36.0], 0d_pPGyQQh, 5750604]
[paragraph, [107.0, 916.0, 1450.0, 36.0], 0d_pPGyQQh, 5750604]
[paragraph, [107.0, 952.0, 1450.0, 36.0], 0d_pPGyQQh, 5750604]
[paragraph, [107.0, 988.0, 1450.0, 36.0], 0d_pPGyQQh, 5750604]
[paragraph, [109.0, 1070.0, 1437.0, 36.0], GxT58rS2U9, 5750604]
[paragraph, [109.0, 1106.0, 1437.0, 36.0], GxT58rS2U9, 5750604]
[paragraph, [109.0, 1142.0, 1437.0, 36.0], GxT58rS2U9, 5750604]
[paragraph, [109.0, 1178.0, 1437.0, 36.0], GxT58rS2U9, 5750604]
[paragraph, [109.0, 1214.0, 1437.0, 36.0], GxT58rS2U9, 5750604]
[paragraph, [109.0, 1250.0, 1437.0, 36.0], GxT58rS2U9, 5750604]
[paragraph, [109.0, 1286.0, 1437.0, 36.0], GxT58rS2U9, 5750604]
[paragraph, [109.0, 1322.0, 1437.0, 36.0], GxT58rS2U9, 5750604]
[paragraph, [116.0, 1370.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1406.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1442.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1478.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1514.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1550.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1586.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1622.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1658.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1694.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1730.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1766.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1802.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1838.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1874.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1910.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1946.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [116.0, 1982.0, 1433.0, 36.0], hGZFKCdvZC, 5750604]
[paragraph, [101.0, 2045.0, 1060.0, 36.0], ULC90G8jXF, 5750604]
[paragraph, [101.0, 2081.0, 1060.0, 36.0], ULC90G8jXF, 5750604]
