[2035, 1451]
[paragraph, [294.0, 218.0, 1078.0, 36.0], shoonya_6sODNATUQ9UCMR, 5652355]
[paragraph, [294.0, 254.0, 1078.0, 36.0], shoonya_6sODNATUQ9UCMR, 5652355]
[paragraph, [294.0, 290.0, 1078.0, 36.0], shoonya_6sODNATUQ9UCMR, 5652355]
[paragraph, [294.0, 326.0, 1078.0, 36.0], shoonya_6sODNATUQ9UCMR, 5652355]
[paragraph, [294.0, 362.0, 1078.0, 36.0], shoonya_6sODNATUQ9UCMR, 5652355]
[paragraph, [294.0, 398.0, 1078.0, 36.0], shoonya_6sODNATUQ9UCMR, 5652355]
[paragraph, [294.0, 434.0, 1078.0, 36.0], shoonya_6sODNATUQ9UCMR, 5652355]
[section-title, [297.0, 511.0, 186.0, 52.5], shoonya_2sYEZV19W42LUC, 5652355]
[paragraph, [296.0, 614.0, 1071.0, 36.0], shoonya_3s6VAK0NGK5GTD, 5652355]
[paragraph, [296.0, 650.0, 1071.0, 36.0], shoonya_3s6VAK0NGK5GTD, 5652355]
[paragraph, [296.0, 686.0, 1071.0, 36.0], shoonya_3s6VAK0NGK5GTD, 5652355]
[paragraph, [296.0, 722.0, 1071.0, 36.0], shoonya_3s6VAK0NGK5GTD, 5652355]
[paragraph, [296.0, 758.0, 1071.0, 36.0], shoonya_3s6VAK0NGK5GTD, 5652355]
[paragraph, [294.0, 838.0, 1070.0, 36.0], shoonya_1sI0NSMVDKH7F3, 5652355]
[paragraph, [294.0, 874.0, 1070.0, 36.0], shoonya_1sI0NSMVDKH7F3, 5652355]
[paragraph, [294.0, 910.0, 1070.0, 36.0], shoonya_1sI0NSMVDKH7F3, 5652355]
[paragraph, [294.0, 946.0, 1070.0, 36.0], shoonya_1sI0NSMVDKH7F3, 5652355]
[paragraph, [294.0, 982.0, 1070.0, 36.0], shoonya_1sI0NSMVDKH7F3, 5652355]
[paragraph, [290.0, 1068.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1104.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1140.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1176.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1212.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1248.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1284.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1320.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1356.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1392.0, 1075.0, 36.0], shoonya_0s13ZLZLM19QAV, 5652355]
[paragraph, [290.0, 1489.0, 1078.0, 36.0], shoonya_5sL5JPF98ARUVO, 5652355]
[paragraph, [290.0, 1525.0, 1078.0, 36.0], shoonya_5sL5JPF98ARUVO, 5652355]
[paragraph, [290.0, 1561.0, 1078.0, 36.0], shoonya_5sL5JPF98ARUVO, 5652355]
[paragraph, [290.0, 1597.0, 1078.0, 36.0], shoonya_5sL5JPF98ARUVO, 5652355]
[paragraph, [290.0, 1633.0, 1078.0, 36.0], shoonya_5sL5JPF98ARUVO, 5652355]
[paragraph, [290.0, 1669.0, 1078.0, 36.0], shoonya_5sL5JPF98ARUVO, 5652355]
[paragraph, [290.0, 1705.0, 1078.0, 36.0], shoonya_5sL5JPF98ARUVO, 5652355]
[paragraph, [295.0, 1773.0, 1075.0, 36.0], CJ_shfCkyP, 5652355]
[paragraph, [295.0, 1809.0, 1075.0, 36.0], CJ_shfCkyP, 5652355]
[paragraph, [295.0, 1845.0, 1075.0, 36.0], CJ_shfCkyP, 5652355]
