[1050, 693]
[folio, [79.0, 78.0, 84.0, 18.0], shoonya_2s507Z9F3FHH2J, 5702522]
[folio, [79.0, 96.0, 84.0, 18.0], shoonya_2s507Z9F3FHH2J, 5702522]
[paragraph, [80.0, 130.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 148.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 166.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 184.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 202.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 220.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 238.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 256.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 274.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 292.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 310.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 328.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 346.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 364.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 382.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 400.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [80.0, 418.0, 523.0, 18.0], shoonya_0sA4YJHM237W0A, 5702522]
[paragraph, [86.0, 455.0, 521.0, 18.0], shoonya_3sUV4ASNS2NBXC, 5702522]
[paragraph, [86.0, 473.0, 521.0, 18.0], shoonya_3sUV4ASNS2NBXC, 5702522]
[paragraph, [86.0, 491.0, 521.0, 18.0], shoonya_3sUV4ASNS2NBXC, 5702522]
[paragraph, [86.0, 509.0, 521.0, 18.0], shoonya_3sUV4ASNS2NBXC, 5702522]
[paragraph, [86.0, 527.0, 521.0, 18.0], shoonya_3sUV4ASNS2NBXC, 5702522]
[paragraph, [86.0, 545.0, 521.0, 18.0], shoonya_3sUV4ASNS2NBXC, 5702522]
[paragraph, [86.0, 563.0, 521.0, 18.0], shoonya_3sUV4ASNS2NBXC, 5702522]
[paragraph, [88.0, 602.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 620.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 638.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 656.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 674.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 692.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 710.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 728.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 746.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 764.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 782.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 800.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 818.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 836.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [88.0, 854.0, 525.0, 18.0], shoonya_1s8RBSOX44SF2E, 5702522]
[paragraph, [89.0, 910.0, 540.0, 18.0], 6Gn5SRb-mS, 5702522]
[paragraph, [89.0, 928.0, 540.0, 18.0], 6Gn5SRb-mS, 5702522]
[paragraph, [89.0, 946.0, 540.0, 18.0], 6Gn5SRb-mS, 5702522]
