[2200, 1700]
[headline, [316.0, 205.0, 1228.0, 67.5], PHAkq1_fS-, 5658133]
[contact-info, [307.0, 280.0, 1154.0, 36.0], 89nX9S1zx0, 5658133]
[folio, [1093.0, 439.0, 460.0, 36.0], txPrB_upUd, 5658133]
[folio, [217.0, 443.0, 691.0, 36.0], shoonya_1sF397Y6PTBCNQ, 5658133]
[paragraph, [190.0, 502.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 538.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 574.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 610.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 646.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 682.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 718.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 754.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 790.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 826.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 862.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 898.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 934.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 970.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [190.0, 1006.0, 1392.0, 36.0], shoonya_0sXAZRJBNWGAJF, 5658133]
[paragraph, [187.0, 1072.0, 465.0, 36.0], Sq1wM-86tJ, 5658133]
[paragraph, [187.0, 1108.0, 465.0, 36.0], Sq1wM-86tJ, 5658133]
[contact-info, [1147.0, 1219.0, 430.0, 36.0], 9jzkxZ6F9N, 5658133]
[contact-info, [1147.0, 1255.0, 430.0, 36.0], 9jzkxZ6F9N, 5658133]
[contact-info, [1147.0, 1291.0, 430.0, 36.0], 9jzkxZ6F9N, 5658133]
