[1650, 1275]
[ordered-list, [212.0, 124.0, 659.0, 36.0], shoonya_0sSKDXTOFCPBUG, 6477058]
[ordered-list, [212.0, 160.0, 659.0, 36.0], shoonya_0sSKDXTOFCPBUG, 6477058]
[ordered-list, [212.0, 196.0, 659.0, 36.0], shoonya_0sSKDXTOFCPBUG, 6477058]
[ordered-list, [212.0, 232.0, 659.0, 36.0], shoonya_0sSKDXTOFCPBUG, 6477058]
[ordered-list, [169.0, 311.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 347.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 383.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 419.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 455.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 491.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 527.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 563.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 599.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 635.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 671.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 707.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 743.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[ordered-list, [169.0, 779.0, 964.0, 36.0], cC6FprLFeu, 6477058]
[sub-ordered-list, [215.0, 404.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 440.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 476.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 512.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 548.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 584.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 620.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 656.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 692.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 728.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[sub-ordered-list, [215.0, 764.0, 898.0, 36.0], shoonya_3sW2EV3LF51JID, 6477058]
[reference, [138.0, 904.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 940.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 976.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1012.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1048.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1084.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1120.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1156.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1192.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1228.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1264.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1300.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1336.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1372.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
[reference, [138.0, 1408.0, 959.0, 36.0], KhfRoxIDOd, 6477058]
