[1447, 1063]
[folio, [422.0, 51.0, 217.0, 18.0], SNPQwehJaB, 5763150]
[headline, [196.0, 97.0, 667.0, 25.5], pzPaOQ_k2s, 5763150]
[answer, [536.0, 229.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 247.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 265.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 283.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 301.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 319.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 337.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 355.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 373.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [536.0, 391.0, 433.0, 18.0], shoonya_3sSJ6T01NG5T9A, 5763150]
[answer, [89.0, 259.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 277.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 295.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 313.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 331.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 349.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 367.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 385.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 403.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 421.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 439.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 457.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 475.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 493.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 511.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 529.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 547.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 565.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 583.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 601.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 619.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 637.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 655.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 673.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 691.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 709.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [89.0, 727.0, 440.0, 18.0], shoonya_2sR5XZ6J26XIFL, 5763150]
[answer, [531.0, 760.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 778.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 796.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 814.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 832.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 850.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 868.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 886.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 904.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 922.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 940.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 958.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 976.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 994.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 1012.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 1030.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [531.0, 1048.0, 438.0, 18.0], jzA3qvEIKM, 5763150]
[answer, [91.0, 871.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 889.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 907.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 925.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 943.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 961.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 979.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 997.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1015.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1033.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1051.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1069.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1087.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1105.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1123.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1141.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1159.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1177.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1195.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1213.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1231.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1249.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1267.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1285.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [91.0, 1303.0, 433.0, 18.0], 1pmli2NI4T, 5763150]
[answer, [534.0, 1154.0, 438.0, 18.0], M2N7pKQ3R0, 5763150]
[answer, [534.0, 1172.0, 438.0, 18.0], M2N7pKQ3R0, 5763150]
[answer, [534.0, 1190.0, 438.0, 18.0], M2N7pKQ3R0, 5763150]
[answer, [534.0, 1208.0, 438.0, 18.0], M2N7pKQ3R0, 5763150]
[answer, [534.0, 1226.0, 438.0, 18.0], M2N7pKQ3R0, 5763150]
[answer, [534.0, 1244.0, 438.0, 18.0], M2N7pKQ3R0, 5763150]
