[2717, 1772]
[folio, [676.0, 242.0, 384.0, 46.5], shoonya_1s5IA0BGDY4PMG, 5721636]
[paragraph, [196.0, 343.0, 1409.0, 46.5], shoonya_0sVS3J2HOF85FE, 5721636]
[paragraph, [196.0, 389.5, 1409.0, 46.5], shoonya_0sVS3J2HOF85FE, 5721636]
[paragraph, [196.0, 436.0, 1409.0, 46.5], shoonya_0sVS3J2HOF85FE, 5721636]
[paragraph, [196.0, 482.5, 1409.0, 46.5], shoonya_0sVS3J2HOF85FE, 5721636]
[paragraph, [192.0, 542.0, 1408.0, 46.5], YJ-gVx-2hf, 5721636]
[paragraph, [192.0, 588.5, 1408.0, 46.5], YJ-gVx-2hf, 5721636]
[paragraph, [192.0, 684.0, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 730.5, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 777.0, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 823.5, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 870.0, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 916.5, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 963.0, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 1009.5, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 1056.0, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 1102.5, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 1149.0, 1406.0, 46.5], tabNM-adRS, 5721636]
[paragraph, [192.0, 1240.0, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1286.5, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1333.0, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1379.5, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1426.0, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1472.5, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1519.0, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1565.5, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1612.0, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1658.5, 1404.0, 46.5], G5rCM-tlZt, 5721636]
[paragraph, [192.0, 1744.0, 1404.0, 46.5], vxIMmE3x7I, 5721636]
[paragraph, [192.0, 1790.5, 1404.0, 46.5], vxIMmE3x7I, 5721636]
[paragraph, [192.0, 1868.0, 1402.0, 46.5], gdrVn4tWJv, 5721636]
[paragraph, [192.0, 1914.5, 1402.0, 46.5], gdrVn4tWJv, 5721636]
[paragraph, [190.0, 1997.0, 1397.0, 46.5], 88WG2OhzXj, 5721636]
[paragraph, [190.0, 2043.5, 1397.0, 46.5], 88WG2OhzXj, 5721636]
[paragraph, [190.0, 2090.0, 1397.0, 46.5], 88WG2OhzXj, 5721636]
[paragraph, [190.0, 2136.5, 1397.0, 46.5], 88WG2OhzXj, 5721636]
[paragraph, [190.0, 2183.0, 1397.0, 46.5], 88WG2OhzXj, 5721636]
[paragraph, [190.0, 2240.0, 1395.0, 46.5], -ZZ9RRlYYV, 5721636]
[paragraph, [190.0, 2286.5, 1395.0, 46.5], -ZZ9RRlYYV, 5721636]
[paragraph, [190.0, 2333.0, 1395.0, 46.5], -ZZ9RRlYYV, 5721636]
[paragraph, [190.0, 2379.5, 1395.0, 46.5], -ZZ9RRlYYV, 5721636]
[paragraph, [190.0, 2426.0, 1395.0, 46.5], -ZZ9RRlYYV, 5721636]
