[3508, 2481]
[flag, [815.0, 96.0, 834.0, 52.5], U1rmRmDpvg, 6534732]
[flag, [815.0, 148.5, 834.0, 52.5], U1rmRmDpvg, 6534732]
[section-title, [1023.0, 269.0, 431.0, 93.0], rkjCllUlaO, 6534732]
[dateline, [1848.0, 652.0, 399.0, 52.5], shoonya_5sNAJFQVD8YEC5, 6534732]
[paragraph, [218.0, 917.0, 320.0, 52.5], shoonya_3sTSZYO464DO96, 6534732]
[paragraph, [223.0, 1030.0, 2037.0, 52.5], shoonya_1sR9J84N7HQSIS, 6534732]
[paragraph, [223.0, 1082.5, 2037.0, 52.5], shoonya_1sR9J84N7HQSIS, 6534732]
[paragraph, [223.0, 1135.0, 2037.0, 52.5], shoonya_1sR9J84N7HQSIS, 6534732]
[paragraph, [223.0, 1187.5, 2037.0, 52.5], shoonya_1sR9J84N7HQSIS, 6534732]
[paragraph, [223.0, 1240.0, 2037.0, 52.5], shoonya_1sR9J84N7HQSIS, 6534732]
[paragraph, [223.0, 1292.5, 2037.0, 52.5], shoonya_1sR9J84N7HQSIS, 6534732]
[ordered-list, [278.0, 1442.0, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[ordered-list, [278.0, 1494.5, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[ordered-list, [278.0, 1547.0, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[ordered-list, [278.0, 1599.5, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[ordered-list, [278.0, 1652.0, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[ordered-list, [278.0, 1704.5, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[ordered-list, [278.0, 1757.0, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[ordered-list, [278.0, 1809.5, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[ordered-list, [278.0, 1862.0, 1975.0, 52.5], shoonya_2sRRJUE2MNRXA3, 6534732]
[figure-caption, [1898.0, 2331.0, 357.0, 52.5], ec13nq0CRc, 6534732]
[contact-info, [961.0, 3261.0, 557.0, 52.5], shoonya_4s7A7CVSBLIAP6, 6534732]
