[1437, 878]
[folio, [88.0, 68.0, 490.0, 18.0], eLJC6tn9LD, 5770205]
[folio, [88.0, 86.0, 490.0, 18.0], eLJC6tn9LD, 5770205]
[folio, [88.0, 104.0, 490.0, 18.0], eLJC6tn9LD, 5770205]
[contact-info, [203.0, 1221.0, 596.0, 18.0], ibcOQ1299F, 5770205]
[contact-info, [203.0, 1239.0, 596.0, 18.0], ibcOQ1299F, 5770205]
[contact-info, [203.0, 1257.0, 596.0, 18.0], ibcOQ1299F, 5770205]
[contact-info, [203.0, 1275.0, 596.0, 18.0], ibcOQ1299F, 5770205]
[contact-info, [203.0, 1293.0, 596.0, 18.0], ibcOQ1299F, 5770205]
[contact-info, [203.0, 1311.0, 596.0, 18.0], ibcOQ1299F, 5770205]
[contact-info, [203.0, 1329.0, 596.0, 18.0], ibcOQ1299F, 5770205]
[contact-info, [203.0, 1347.0, 596.0, 18.0], ibcOQ1299F, 5770205]
[contact-info, [203.0, 1365.0, 596.0, 18.0], ibcOQ1299F, 5770205]
