[1787, 1218]
[paragraph, [112.0, 94.0, 1004.0, 36.0], RshOHNZblA, 5651295]
[paragraph, [112.0, 130.0, 1004.0, 36.0], RshOHNZblA, 5651295]
[paragraph, [303.0, 187.0, 482.0, 36.0], shoonya_5sZ0VW6KOCQMZM, 5651295]
[paragraph, [303.0, 223.0, 482.0, 36.0], shoonya_5sZ0VW6KOCQMZM, 5651295]
[paragraph, [303.0, 259.0, 482.0, 36.0], shoonya_5sZ0VW6KOCQMZM, 5651295]
[paragraph, [303.0, 295.0, 482.0, 36.0], shoonya_5sZ0VW6KOCQMZM, 5651295]
[paragraph, [104.0, 349.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 385.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 421.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 457.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 493.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 529.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 565.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 601.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 637.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 673.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 709.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 745.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 781.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 817.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 853.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 889.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [104.0, 925.0, 1011.0, 36.0], shoonya_0sXQYQTNOUGYD9, 5651295]
[paragraph, [102.0, 984.0, 1010.0, 36.0], shoonya_6s8X1Y4V46H8RB, 5651295]
[paragraph, [102.0, 1020.0, 1010.0, 36.0], shoonya_6s8X1Y4V46H8RB, 5651295]
[paragraph, [305.0, 1077.0, 418.0, 36.0], shoonya_4s8B9VOQHQ6SYE, 5651295]
[paragraph, [305.0, 1113.0, 418.0, 36.0], shoonya_4s8B9VOQHQ6SYE, 5651295]
[paragraph, [305.0, 1149.0, 418.0, 36.0], shoonya_4s8B9VOQHQ6SYE, 5651295]
[paragraph, [305.0, 1185.0, 418.0, 36.0], shoonya_4s8B9VOQHQ6SYE, 5651295]
[paragraph, [107.0, 1242.0, 1001.0, 36.0], shoonya_1sQWYI42CYBHHX, 5651295]
[paragraph, [107.0, 1278.0, 1001.0, 36.0], shoonya_1sQWYI42CYBHHX, 5651295]
[paragraph, [107.0, 1314.0, 1001.0, 36.0], shoonya_1sQWYI42CYBHHX, 5651295]
[paragraph, [107.0, 1350.0, 1001.0, 36.0], shoonya_1sQWYI42CYBHHX, 5651295]
[paragraph, [107.0, 1386.0, 1001.0, 36.0], shoonya_1sQWYI42CYBHHX, 5651295]
[paragraph, [104.0, 1441.0, 1004.0, 36.0], shoonya_3sF49X8GXJHQMY, 5651295]
[paragraph, [104.0, 1477.0, 1004.0, 36.0], shoonya_3sF49X8GXJHQMY, 5651295]
[paragraph, [104.0, 1513.0, 1004.0, 36.0], shoonya_3sF49X8GXJHQMY, 5651295]
[footnote, [455.0, 1639.0, 226.0, 36.0], Z8279sTbuD, 5651295]
