[5500, 3644]
[folio, [2846.0, 378.0, 277.0, 52.5], CpN9rJwx-i, 5710197]
[folio, [2846.0, 430.5, 277.0, 52.5], CpN9rJwx-i, 5710197]
[folio, [2846.0, 483.0, 277.0, 52.5], CpN9rJwx-i, 5710197]
[paragraph, [423.0, 565.0, 2819.0, 52.5], 9NazrkAeKC, 5710197]
[paragraph, [423.0, 617.5, 2819.0, 52.5], 9NazrkAeKC, 5710197]
[paragraph, [423.0, 670.0, 2819.0, 52.5], 9NazrkAeKC, 5710197]
[paragraph, [423.0, 722.5, 2819.0, 52.5], 9NazrkAeKC, 5710197]
[paragraph, [423.0, 775.0, 2819.0, 52.5], 9NazrkAeKC, 5710197]
[quote, [1019.0, 579.0, 1821.0, 52.5], mNoyl7uq9W, 5710197]
[quote, [1019.0, 631.5, 1821.0, 52.5], mNoyl7uq9W, 5710197]
[quote, [428.0, 842.0, 2819.0, 52.5], dS4VeY_xee, 5710197]
[quote, [428.0, 894.5, 2819.0, 52.5], dS4VeY_xee, 5710197]
[quote, [428.0, 947.0, 2819.0, 52.5], dS4VeY_xee, 5710197]
[quote, [428.0, 999.5, 2819.0, 52.5], dS4VeY_xee, 5710197]
[paragraph, [493.0, 1105.0, 873.0, 52.5], AweONnuPGd, 5710197]
[paragraph, [493.0, 1157.5, 873.0, 52.5], AweONnuPGd, 5710197]
[paragraph, [456.0, 1238.0, 2801.0, 52.5], nJgO9nEL1B, 5710197]
[paragraph, [456.0, 1290.5, 2801.0, 52.5], nJgO9nEL1B, 5710197]
[paragraph, [456.0, 1343.0, 2801.0, 52.5], nJgO9nEL1B, 5710197]
[paragraph, [456.0, 1395.5, 2801.0, 52.5], nJgO9nEL1B, 5710197]
[paragraph, [456.0, 1448.0, 2801.0, 52.5], nJgO9nEL1B, 5710197]
[paragraph, [456.0, 1500.5, 2801.0, 52.5], nJgO9nEL1B, 5710197]
[quote, [520.0, 1609.0, 2575.0, 52.5], Cxwz0T8k_F, 5710197]
[quote, [520.0, 1661.5, 2575.0, 52.5], Cxwz0T8k_F, 5710197]
[quote, [520.0, 1714.0, 2575.0, 52.5], Cxwz0T8k_F, 5710197]
[quote, [520.0, 1766.5, 2575.0, 52.5], Cxwz0T8k_F, 5710197]
[paragraph, [721.0, 1874.0, 1399.0, 52.5], kSsgMqwv2N, 5710197]
[paragraph, [721.0, 1926.5, 1399.0, 52.5], kSsgMqwv2N, 5710197]
[quote, [737.0, 2021.0, 927.0, 52.5], ok9hIl0XIP, 5710197]
[quote, [737.0, 2073.5, 927.0, 52.5], ok9hIl0XIP, 5710197]
[quote, [721.0, 2145.0, 661.0, 52.5], 35Isd3qCnz, 5710197]
[quote, [721.0, 2197.5, 661.0, 52.5], 35Isd3qCnz, 5710197]
[paragraph, [1388.0, 2156.0, 1702.0, 52.5], 95ZIoKKGDw, 5710197]
[paragraph, [1388.0, 2208.5, 1702.0, 52.5], 95ZIoKKGDw, 5710197]
[paragraph, [553.0, 2265.0, 265.0, 52.5], ga9yNafaUS, 5710197]
[paragraph, [553.0, 2317.5, 265.0, 52.5], ga9yNafaUS, 5710197]
[paragraph, [737.0, 2411.0, 1859.0, 52.5], 63U9W-4IrC, 5710197]
[paragraph, [737.0, 2463.5, 1859.0, 52.5], 63U9W-4IrC, 5710197]
[paragraph, [536.0, 2535.0, 2554.0, 52.5], I7BRpNOEQQ, 5710197]
[paragraph, [536.0, 2587.5, 2554.0, 52.5], I7BRpNOEQQ, 5710197]
[paragraph, [536.0, 2640.0, 2554.0, 52.5], I7BRpNOEQQ, 5710197]
[paragraph, [536.0, 2692.5, 2554.0, 52.5], I7BRpNOEQQ, 5710197]
[paragraph, [737.0, 2796.0, 1480.0, 52.5], PJVY92P_8O, 5710197]
[paragraph, [737.0, 2848.5, 1480.0, 52.5], PJVY92P_8O, 5710197]
[paragraph, [515.0, 2931.0, 2537.0, 52.5], uCYgRopPWs, 5710197]
[paragraph, [515.0, 2983.5, 2537.0, 52.5], uCYgRopPWs, 5710197]
[paragraph, [515.0, 3036.0, 2537.0, 52.5], uCYgRopPWs, 5710197]
[paragraph, [515.0, 3088.5, 2537.0, 52.5], uCYgRopPWs, 5710197]
[paragraph, [504.0, 3197.0, 2575.0, 52.5], STngCMAx2O, 5710197]
[paragraph, [504.0, 3249.5, 2575.0, 52.5], STngCMAx2O, 5710197]
[paragraph, [504.0, 3302.0, 2575.0, 52.5], STngCMAx2O, 5710197]
[paragraph, [504.0, 3354.5, 2575.0, 52.5], STngCMAx2O, 5710197]
[quote, [721.0, 3440.0, 2315.0, 52.5], uhcxxZ-hwc, 5710197]
[quote, [721.0, 3492.5, 2315.0, 52.5], uhcxxZ-hwc, 5710197]
[paragraph, [460.0, 3576.0, 2592.0, 52.5], I6l0vmEOLc, 5710197]
[paragraph, [460.0, 3628.5, 2592.0, 52.5], I6l0vmEOLc, 5710197]
[paragraph, [460.0, 3681.0, 2592.0, 52.5], I6l0vmEOLc, 5710197]
[paragraph, [460.0, 3733.5, 2592.0, 52.5], I6l0vmEOLc, 5710197]
[paragraph, [460.0, 3786.0, 2592.0, 52.5], I6l0vmEOLc, 5710197]
[paragraph, [460.0, 3838.5, 2592.0, 52.5], I6l0vmEOLc, 5710197]
[paragraph, [460.0, 3891.0, 2592.0, 52.5], I6l0vmEOLc, 5710197]
[paragraph, [471.0, 3971.0, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [471.0, 4023.5, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [471.0, 4076.0, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [471.0, 4128.5, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [471.0, 4181.0, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [471.0, 4233.5, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [471.0, 4286.0, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [471.0, 4338.5, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [471.0, 4391.0, 2619.0, 52.5], oSl7E3FFu5, 5710197]
[paragraph, [721.0, 4486.0, 1095.0, 52.5], amoWWXkirW, 5710197]
[paragraph, [721.0, 4538.5, 1095.0, 52.5], amoWWXkirW, 5710197]
[paragraph, [721.0, 4591.0, 1095.0, 52.5], amoWWXkirW, 5710197]
[paragraph, [721.0, 4643.5, 1095.0, 52.5], amoWWXkirW, 5710197]
[paragraph, [721.0, 4696.0, 1095.0, 52.5], amoWWXkirW, 5710197]
