[1050, 693]
[folio, [515.0, 78.0, 85.0, 18.0], shoonya_1sY9ZYAFJTKLN0, 5702647]
[folio, [515.0, 96.0, 85.0, 18.0], shoonya_1sY9ZYAFJTKLN0, 5702647]
[paragraph, [80.0, 120.0, 527.0, 18.0], shoonya_0s492KR8ZCU5PV, 5702647]
[paragraph, [80.0, 138.0, 527.0, 18.0], shoonya_0s492KR8ZCU5PV, 5702647]
[paragraph, [80.0, 156.0, 527.0, 18.0], shoonya_0s492KR8ZCU5PV, 5702647]
[paragraph, [81.0, 182.0, 525.0, 18.0], -gRoz56OIW, 5702647]
[paragraph, [81.0, 200.0, 525.0, 18.0], -gRoz56OIW, 5702647]
[paragraph, [81.0, 218.0, 525.0, 18.0], -gRoz56OIW, 5702647]
[paragraph, [76.0, 244.0, 536.0, 18.0], bMntZyRZDy, 5702647]
[paragraph, [76.0, 262.0, 536.0, 18.0], bMntZyRZDy, 5702647]
[paragraph, [76.0, 280.0, 536.0, 18.0], bMntZyRZDy, 5702647]
[paragraph, [106.0, 303.0, 341.0, 18.0], Tkkw2VixC8, 5702647]
[paragraph, [106.0, 321.0, 341.0, 18.0], Tkkw2VixC8, 5702647]
[paragraph, [76.0, 340.0, 531.0, 18.0], pYzqRLcaof, 5702647]
[paragraph, [76.0, 358.0, 531.0, 18.0], pYzqRLcaof, 5702647]
[paragraph, [76.0, 376.0, 531.0, 18.0], pYzqRLcaof, 5702647]
[paragraph, [81.0, 408.0, 527.0, 18.0], shoonya_2sRT51TM1QM20K, 5702647]
[paragraph, [81.0, 426.0, 527.0, 18.0], shoonya_2sRT51TM1QM20K, 5702647]
[paragraph, [81.0, 444.0, 527.0, 18.0], shoonya_2sRT51TM1QM20K, 5702647]
[paragraph, [81.0, 462.0, 527.0, 18.0], shoonya_2sRT51TM1QM20K, 5702647]
[paragraph, [81.0, 480.0, 527.0, 18.0], shoonya_2sRT51TM1QM20K, 5702647]
[paragraph, [82.0, 512.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 530.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 548.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 566.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 584.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 602.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 620.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 638.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 656.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 674.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 692.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 710.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 728.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 746.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [82.0, 764.0, 530.0, 18.0], FZ3DvEW0sa, 5702647]
[paragraph, [89.0, 803.0, 520.0, 18.0], ltq3SxXcwG, 5702647]
[paragraph, [89.0, 821.0, 520.0, 18.0], ltq3SxXcwG, 5702647]
[paragraph, [89.0, 839.0, 520.0, 18.0], ltq3SxXcwG, 5702647]
[paragraph, [89.0, 857.0, 520.0, 18.0], ltq3SxXcwG, 5702647]
[paragraph, [89.0, 875.0, 520.0, 18.0], ltq3SxXcwG, 5702647]
[paragraph, [90.0, 908.0, 528.0, 18.0], dtoSRYox1X, 5702647]
[paragraph, [90.0, 926.0, 528.0, 18.0], dtoSRYox1X, 5702647]
[paragraph, [90.0, 944.0, 528.0, 18.0], dtoSRYox1X, 5702647]
[paragraph, [90.0, 962.0, 528.0, 18.0], dtoSRYox1X, 5702647]
