[2339, 1653]
[paragraph, [251.0, 246.0, 1154.0, 36.0], shoonya_3sV6FCEB8V13KW, 5686670]
[paragraph, [251.0, 282.0, 1154.0, 36.0], shoonya_3sV6FCEB8V13KW, 5686670]
[paragraph, [251.0, 318.0, 1154.0, 36.0], shoonya_3sV6FCEB8V13KW, 5686670]
[paragraph, [250.0, 383.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [250.0, 419.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [250.0, 455.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [250.0, 491.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [250.0, 527.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [250.0, 563.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [250.0, 599.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [250.0, 635.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [250.0, 671.0, 1158.0, 36.0], shoonya_1sCFCSLNW8EF8U, 5686670]
[paragraph, [249.0, 870.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 906.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 942.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 978.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1014.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1050.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1086.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1122.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1158.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1194.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1230.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1266.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1302.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1338.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1374.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1410.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1446.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1482.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1518.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1554.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1590.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1626.0, 1154.0, 36.0], shoonya_0sM6H4SMSLJAGX, 5686670]
[paragraph, [249.0, 1842.0, 1155.0, 36.0], shoonya_2s1DQ66SOXVAOF, 5686670]
[paragraph, [249.0, 1878.0, 1155.0, 36.0], shoonya_2s1DQ66SOXVAOF, 5686670]
[paragraph, [249.0, 1914.0, 1155.0, 36.0], shoonya_2s1DQ66SOXVAOF, 5686670]
[paragraph, [249.0, 1950.0, 1155.0, 36.0], shoonya_2s1DQ66SOXVAOF, 5686670]
[paragraph, [249.0, 1986.0, 1155.0, 36.0], shoonya_2s1DQ66SOXVAOF, 5686670]
[paragraph, [249.0, 2022.0, 1155.0, 36.0], shoonya_2s1DQ66SOXVAOF, 5686670]
[paragraph, [249.0, 2058.0, 1155.0, 36.0], shoonya_2s1DQ66SOXVAOF, 5686670]
