[2339, 1653]
[paragraph, [653.0, 196.0, 436.0, 36.0], shoonya_3sR6R5NTEADZKN, 5685900]
[paragraph, [653.0, 232.0, 436.0, 36.0], shoonya_3sR6R5NTEADZKN, 5685900]
[paragraph, [653.0, 268.0, 436.0, 36.0], shoonya_3sR6R5NTEADZKN, 5685900]
[paragraph, [653.0, 304.0, 436.0, 36.0], shoonya_3sR6R5NTEADZKN, 5685900]
[paragraph, [653.0, 340.0, 436.0, 36.0], shoonya_3sR6R5NTEADZKN, 5685900]
[reference, [1101.0, 359.0, 233.0, 36.0], pNLubHQFt3, 5685900]
[paragraph, [234.0, 424.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [234.0, 460.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [234.0, 496.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [234.0, 532.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [234.0, 568.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [234.0, 604.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [234.0, 640.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [234.0, 676.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [234.0, 712.0, 1183.0, 36.0], shoonya_1s2WRO1I8HZSQF, 5685900]
[paragraph, [632.0, 794.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 830.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 866.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 902.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 938.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 974.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 1010.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 1046.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 1082.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 1118.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[paragraph, [632.0, 1154.0, 426.0, 36.0], shoonya_5sKQLYMOYPY887, 5685900]
[reference, [1071.0, 1164.0, 130.0, 36.0], ty6G1mgASq, 5685900]
[paragraph, [240.0, 1228.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1264.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1300.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1336.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1372.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1408.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1444.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1480.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1516.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1552.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [240.0, 1588.0, 1182.0, 36.0], shoonya_2sTXTPBLMICZ2U, 5685900]
[paragraph, [241.0, 1775.0, 1182.0, 36.0], shoonya_0sOL5PR0VIBTRH, 5685900]
[paragraph, [241.0, 1811.0, 1182.0, 36.0], shoonya_0sOL5PR0VIBTRH, 5685900]
[paragraph, [241.0, 1847.0, 1182.0, 36.0], shoonya_0sOL5PR0VIBTRH, 5685900]
[paragraph, [241.0, 1883.0, 1182.0, 36.0], shoonya_0sOL5PR0VIBTRH, 5685900]
[paragraph, [241.0, 1919.0, 1182.0, 36.0], shoonya_0sOL5PR0VIBTRH, 5685900]
[paragraph, [241.0, 1955.0, 1182.0, 36.0], shoonya_0sOL5PR0VIBTRH, 5685900]
[paragraph, [241.0, 1991.0, 1182.0, 36.0], shoonya_0sOL5PR0VIBTRH, 5685900]
