[792, 612]
[folio, [262.0, 50.0, 67.0, 18.0], e3ADYDZZGs, 6493072]
[paragraph, [90.0, 88.0, 425.0, 18.0], fnZIFP0PWh, 6493072]
[paragraph, [90.0, 106.0, 425.0, 18.0], fnZIFP0PWh, 6493072]
[paragraph, [90.0, 124.0, 425.0, 18.0], fnZIFP0PWh, 6493072]
[paragraph, [90.0, 142.0, 425.0, 18.0], fnZIFP0PWh, 6493072]
[paragraph, [90.0, 160.0, 425.0, 18.0], fnZIFP0PWh, 6493072]
[paragraph, [90.0, 178.0, 425.0, 18.0], fnZIFP0PWh, 6493072]
[paragraph, [90.0, 198.0, 410.0, 18.0], OymxYGuPVv, 6493072]
[paragraph, [90.0, 216.0, 410.0, 18.0], OymxYGuPVv, 6493072]
[paragraph, [90.0, 234.0, 410.0, 18.0], OymxYGuPVv, 6493072]
[paragraph, [83.0, 271.0, 413.0, 18.0], v9jj0McuJB, 6493072]
[paragraph, [83.0, 289.0, 413.0, 18.0], v9jj0McuJB, 6493072]
[paragraph, [83.0, 307.0, 413.0, 18.0], v9jj0McuJB, 6493072]
[paragraph, [83.0, 325.0, 413.0, 18.0], v9jj0McuJB, 6493072]
[paragraph, [83.0, 343.0, 413.0, 18.0], v9jj0McuJB, 6493072]
[paragraph, [82.0, 366.0, 413.0, 18.0], vgSZz_cspl, 6493072]
[paragraph, [82.0, 384.0, 413.0, 18.0], vgSZz_cspl, 6493072]
[paragraph, [76.0, 424.0, 419.0, 18.0], -RezuF0nnA, 6493072]
[paragraph, [76.0, 442.0, 419.0, 18.0], -RezuF0nnA, 6493072]
[paragraph, [90.0, 482.0, 406.0, 18.0], hephnJwSw3, 6493072]
[paragraph, [90.0, 500.0, 406.0, 18.0], hephnJwSw3, 6493072]
[paragraph, [90.0, 518.0, 406.0, 18.0], hephnJwSw3, 6493072]
[paragraph, [90.0, 536.0, 406.0, 18.0], hephnJwSw3, 6493072]
[paragraph, [90.0, 554.0, 406.0, 18.0], hephnJwSw3, 6493072]
[paragraph, [90.0, 572.0, 406.0, 18.0], hephnJwSw3, 6493072]
[paragraph, [90.0, 590.0, 406.0, 18.0], hephnJwSw3, 6493072]
[paragraph, [90.0, 608.0, 406.0, 18.0], hephnJwSw3, 6493072]
[paragraph, [82.0, 634.0, 409.0, 18.0], Wcl1ai2xdJ, 6493072]
[paragraph, [82.0, 652.0, 409.0, 18.0], Wcl1ai2xdJ, 6493072]
[paragraph, [82.0, 670.0, 409.0, 18.0], Wcl1ai2xdJ, 6493072]
[paragraph, [82.0, 688.0, 409.0, 18.0], Wcl1ai2xdJ, 6493072]
