[885, 612]
[folio, [292.0, 153.0, 155.0, 18.0], EZ5NqzDIFS, 6459868]
[folio, [292.0, 171.0, 155.0, 18.0], EZ5NqzDIFS, 6459868]
[paragraph, [206.0, 197.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 215.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 233.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 251.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 269.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 287.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 305.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 323.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 341.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 359.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 377.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 395.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 413.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 431.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 449.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 467.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 485.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 503.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 521.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 539.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 557.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 575.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 593.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 611.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 629.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 647.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 665.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 683.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 701.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
[paragraph, [206.0, 719.0, 337.0, 18.0], shoonya_0sFYFO2L7FXM0N, 6459868]
