[1362, 834]
[folio, [607.0, 70.0, 117.0, 18.0], shoonya_5s5XTXDNBHAOY1, 5782246]
[folio, [607.0, 88.0, 117.0, 18.0], shoonya_5s5XTXDNBHAOY1, 5782246]
[folio, [313.0, 126.0, 186.0, 18.0], shoonya_2sLVACUMC57NPB, 5782246]
[paragraph, [87.0, 162.0, 639.0, 18.0], shoonya_3sH91FMU3U6I9F, 5782246]
[paragraph, [87.0, 180.0, 639.0, 18.0], shoonya_3sH91FMU3U6I9F, 5782246]
[paragraph, [87.0, 198.0, 639.0, 18.0], shoonya_3sH91FMU3U6I9F, 5782246]
[paragraph, [87.0, 216.0, 639.0, 18.0], shoonya_3sH91FMU3U6I9F, 5782246]
[ordered-list, [76.0, 245.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 263.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 281.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 299.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 317.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 335.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 353.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 371.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 389.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 407.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 425.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 443.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 461.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 479.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 497.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 515.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 533.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 551.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 569.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 587.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 605.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 623.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 641.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 659.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 677.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 695.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 713.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 731.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 749.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 767.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 785.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 803.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 821.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 839.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 857.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 875.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 893.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 911.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 929.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 947.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 965.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 983.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1001.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1019.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1037.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1055.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1073.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1091.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1109.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1127.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1145.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1163.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1181.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1199.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[ordered-list, [76.0, 1217.0, 668.0, 18.0], 3Xo4pKevN3, 5782246]
[sub-ordered-list, [84.0, 307.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 325.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 343.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 361.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 379.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 397.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 415.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 433.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 451.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 469.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 487.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 505.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 523.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 541.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 559.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 577.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 595.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 613.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 631.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 649.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 667.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 685.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 703.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 721.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 739.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 757.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 775.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 793.0, 651.0, 18.0], LVms8airn5, 5782246]
[sub-ordered-list, [84.0, 811.0, 651.0, 18.0], LVms8airn5, 5782246]
