[872, 605]
[folio, [38.0, 31.0, 77.0, 18.0], shoonya_2sN0Y7B1ME3GUY, 6457049]
[paragraph, [304.0, 68.0, 255.0, 18.0], vOnADCG39d, 6457049]
[paragraph, [304.0, 86.0, 255.0, 18.0], vOnADCG39d, 6457049]
[paragraph, [53.0, 73.0, 112.0, 18.0], QSM8lHuqvW, 6457049]
[paragraph, [37.0, 91.0, 251.0, 18.0], jQs8bBuflE, 6457049]
[paragraph, [37.0, 109.0, 251.0, 18.0], jQs8bBuflE, 6457049]
[paragraph, [305.0, 109.0, 233.0, 18.0], A-i62Xi9HE, 6457049]
[paragraph, [39.0, 130.0, 259.0, 18.0], us6rWQMUfs, 6457049]
[paragraph, [39.0, 148.0, 259.0, 18.0], us6rWQMUfs, 6457049]
[paragraph, [302.0, 132.0, 256.0, 18.0], eK3i85zT_4, 6457049]
[paragraph, [302.0, 150.0, 256.0, 18.0], eK3i85zT_4, 6457049]
[paragraph, [302.0, 168.0, 256.0, 18.0], eK3i85zT_4, 6457049]
[paragraph, [40.0, 168.0, 259.0, 18.0], 98pIkGlseK, 6457049]
[paragraph, [39.0, 201.0, 259.0, 18.0], gSqnHQRwCL, 6457049]
[paragraph, [39.0, 219.0, 259.0, 18.0], gSqnHQRwCL, 6457049]
[paragraph, [301.0, 202.0, 259.0, 18.0], fMD9YMb6x8, 6457049]
[paragraph, [301.0, 220.0, 259.0, 18.0], fMD9YMb6x8, 6457049]
[paragraph, [32.0, 237.0, 266.0, 18.0], wWSsHd1Q1r, 6457049]
[paragraph, [32.0, 255.0, 266.0, 18.0], wWSsHd1Q1r, 6457049]
[paragraph, [298.0, 263.0, 259.0, 18.0], XFyFtfUfIb, 6457049]
[paragraph, [298.0, 281.0, 259.0, 18.0], XFyFtfUfIb, 6457049]
[paragraph, [32.0, 276.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 294.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 312.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 330.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 348.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 366.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 384.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 402.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 420.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 438.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 456.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 474.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 492.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 510.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 528.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 546.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 564.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 582.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 600.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 618.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 636.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [32.0, 654.0, 265.0, 18.0], shoonya_0sPJGF92UK9XSO, 6457049]
[paragraph, [301.0, 304.0, 245.0, 18.0], lWT54oDrXX, 6457049]
[paragraph, [301.0, 322.0, 245.0, 18.0], lWT54oDrXX, 6457049]
[paragraph, [301.0, 348.0, 262.0, 18.0], shoonya_1sN7JLO5G66BZU, 6457049]
[paragraph, [301.0, 366.0, 262.0, 18.0], shoonya_1sN7JLO5G66BZU, 6457049]
[paragraph, [301.0, 384.0, 262.0, 18.0], shoonya_1sN7JLO5G66BZU, 6457049]
[paragraph, [301.0, 402.0, 262.0, 18.0], shoonya_1sN7JLO5G66BZU, 6457049]
[paragraph, [301.0, 420.0, 262.0, 18.0], shoonya_1sN7JLO5G66BZU, 6457049]
[paragraph, [301.0, 438.0, 262.0, 18.0], shoonya_1sN7JLO5G66BZU, 6457049]
[paragraph, [301.0, 456.0, 262.0, 18.0], shoonya_1sN7JLO5G66BZU, 6457049]
[paragraph, [301.0, 474.0, 262.0, 18.0], shoonya_1sN7JLO5G66BZU, 6457049]
[paragraph, [300.0, 503.0, 263.0, 18.0], CzQpq-IUoI, 6457049]
[paragraph, [300.0, 521.0, 263.0, 18.0], CzQpq-IUoI, 6457049]
[paragraph, [300.0, 561.0, 260.0, 18.0], 6OKYp1tLx5, 6457049]
[paragraph, [300.0, 579.0, 260.0, 18.0], 6OKYp1tLx5, 6457049]
[paragraph, [301.0, 609.0, 236.0, 18.0], nX0pCHo83k, 6457049]
[paragraph, [301.0, 627.0, 236.0, 18.0], nX0pCHo83k, 6457049]
[reference, [303.0, 650.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[reference, [303.0, 668.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[reference, [303.0, 686.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[reference, [303.0, 704.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[reference, [303.0, 722.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[reference, [303.0, 740.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[reference, [303.0, 758.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[reference, [303.0, 776.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[reference, [303.0, 794.0, 260.0, 18.0], 0pHShACJW7, 6457049]
[paragraph, [37.0, 692.0, 261.0, 18.0], shoonya_3sJ0NKFBM3MP68, 6457049]
[paragraph, [37.0, 710.0, 261.0, 18.0], shoonya_3sJ0NKFBM3MP68, 6457049]
[paragraph, [37.0, 728.0, 261.0, 18.0], shoonya_3sJ0NKFBM3MP68, 6457049]
[reference, [34.0, 749.0, 266.0, 18.0], B6eMbHRxNZ, 6457049]
[reference, [34.0, 767.0, 266.0, 18.0], B6eMbHRxNZ, 6457049]
[reference, [34.0, 785.0, 266.0, 18.0], B6eMbHRxNZ, 6457049]
[reference, [34.0, 803.0, 266.0, 18.0], B6eMbHRxNZ, 6457049]
[footnote, [90.0, 822.0, 59.0, 18.0], E6cvCCjhWw, 6457049]
