[1987, 1270]
[folio, [567.0, 122.0, 126.0, 36.0], shoonya_0sO01GOMWB9696, 5682646]
[paragraph, [125.0, 192.0, 1019.0, 36.0], shoonya_3sSVQQ2KY077W8, 5682646]
[paragraph, [125.0, 228.0, 1019.0, 36.0], shoonya_3sSVQQ2KY077W8, 5682646]
[paragraph, [125.0, 264.0, 1019.0, 36.0], shoonya_3sSVQQ2KY077W8, 5682646]
[paragraph, [125.0, 300.0, 1019.0, 36.0], shoonya_3sSVQQ2KY077W8, 5682646]
[paragraph, [125.0, 336.0, 1019.0, 36.0], shoonya_3sSVQQ2KY077W8, 5682646]
[paragraph, [127.0, 398.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 434.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 470.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 506.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 542.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 578.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 614.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 650.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 686.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 722.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 758.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 794.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 830.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 866.0, 1018.0, 36.0], shoonya_4sURNE65XP0NKG, 5682646]
[paragraph, [127.0, 923.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [127.0, 959.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [127.0, 995.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [127.0, 1031.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [127.0, 1067.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [127.0, 1103.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [127.0, 1139.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [127.0, 1175.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [127.0, 1211.0, 1018.0, 36.0], shoonya_5s0QDV21G3WYRP, 5682646]
[paragraph, [126.0, 1290.0, 1016.0, 36.0], shoonya_6sQLD2V1W1CQE8, 5682646]
[paragraph, [126.0, 1326.0, 1016.0, 36.0], shoonya_6sQLD2V1W1CQE8, 5682646]
[paragraph, [126.0, 1396.0, 1014.0, 36.0], _JoEoGDZmj, 5682646]
[paragraph, [126.0, 1432.0, 1014.0, 36.0], _JoEoGDZmj, 5682646]
[paragraph, [126.0, 1468.0, 1014.0, 36.0], _JoEoGDZmj, 5682646]
[paragraph, [126.0, 1504.0, 1014.0, 36.0], _JoEoGDZmj, 5682646]
[paragraph, [126.0, 1540.0, 1014.0, 36.0], _JoEoGDZmj, 5682646]
[paragraph, [125.0, 1607.0, 1022.0, 36.0], KqNmnkAtoO, 5682646]
[paragraph, [125.0, 1643.0, 1022.0, 36.0], KqNmnkAtoO, 5682646]
[paragraph, [125.0, 1679.0, 1022.0, 36.0], KqNmnkAtoO, 5682646]
[paragraph, [125.0, 1715.0, 1022.0, 36.0], KqNmnkAtoO, 5682646]
[paragraph, [125.0, 1751.0, 1022.0, 36.0], KqNmnkAtoO, 5682646]
[paragraph, [125.0, 1787.0, 1022.0, 36.0], KqNmnkAtoO, 5682646]
[paragraph, [125.0, 1823.0, 1022.0, 36.0], KqNmnkAtoO, 5682646]
