[792, 612]
[headline, [54.0, 85.0, 326.0, 25.5], shoonya_9sKMJCUWYE8WRE, 6515090]
[headline, [54.0, 110.5, 326.0, 25.5], shoonya_9sKMJCUWYE8WRE, 6515090]
[headline, [54.0, 136.0, 326.0, 25.5], shoonya_9sKMJCUWYE8WRE, 6515090]
[headline, [54.0, 161.5, 326.0, 25.5], shoonya_9sKMJCUWYE8WRE, 6515090]
[headline, [54.0, 187.0, 326.0, 25.5], shoonya_9sKMJCUWYE8WRE, 6515090]
[paragraph, [392.0, 269.0, 164.0, 18.0], shoonya_3sHHXL69X8Y2K7, 6515090]
[paragraph, [392.0, 287.0, 164.0, 18.0], shoonya_3sHHXL69X8Y2K7, 6515090]
[paragraph, [392.0, 305.0, 164.0, 18.0], shoonya_3sHHXL69X8Y2K7, 6515090]
[paragraph, [392.0, 323.0, 164.0, 18.0], shoonya_3sHHXL69X8Y2K7, 6515090]
[paragraph, [392.0, 341.0, 164.0, 18.0], shoonya_3sHHXL69X8Y2K7, 6515090]
[paragraph, [392.0, 359.0, 164.0, 18.0], shoonya_3sHHXL69X8Y2K7, 6515090]
[paragraph, [58.0, 270.0, 161.0, 18.0], shoonya_7sV0WAH1ZTXTNH, 6515090]
[paragraph, [58.0, 288.0, 161.0, 18.0], shoonya_7sV0WAH1ZTXTNH, 6515090]
[paragraph, [58.0, 306.0, 161.0, 18.0], shoonya_7sV0WAH1ZTXTNH, 6515090]
[paragraph, [58.0, 324.0, 161.0, 18.0], shoonya_7sV0WAH1ZTXTNH, 6515090]
[paragraph, [58.0, 342.0, 161.0, 18.0], shoonya_7sV0WAH1ZTXTNH, 6515090]
[paragraph, [58.0, 360.0, 161.0, 18.0], shoonya_7sV0WAH1ZTXTNH, 6515090]
[paragraph, [58.0, 378.0, 161.0, 18.0], shoonya_7sV0WAH1ZTXTNH, 6515090]
[paragraph, [58.0, 396.0, 161.0, 18.0], shoonya_7sV0WAH1ZTXTNH, 6515090]
[paragraph, [394.0, 387.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 405.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 423.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 441.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 459.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 477.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 495.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 513.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 531.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [394.0, 549.0, 162.0, 18.0], shoonya_1sYBVN5LFL4OF4, 6515090]
[paragraph, [57.0, 426.0, 161.0, 18.0], shoonya_6sHE1X366DHAS7, 6515090]
[paragraph, [57.0, 444.0, 161.0, 18.0], shoonya_6sHE1X366DHAS7, 6515090]
[sidebar, [223.0, 443.0, 160.0, 18.0], shoonya_10sQC98LHL7U22, 6515090]
[sidebar, [223.0, 461.0, 160.0, 18.0], shoonya_10sQC98LHL7U22, 6515090]
[sidebar, [223.0, 479.0, 160.0, 18.0], shoonya_10sQC98LHL7U22, 6515090]
[sidebar, [223.0, 497.0, 160.0, 18.0], shoonya_10sQC98LHL7U22, 6515090]
[sidebar, [223.0, 515.0, 160.0, 18.0], shoonya_10sQC98LHL7U22, 6515090]
[sidebar, [223.0, 533.0, 160.0, 18.0], shoonya_10sQC98LHL7U22, 6515090]
[sidebar, [223.0, 551.0, 160.0, 18.0], shoonya_10sQC98LHL7U22, 6515090]
[sidebar, [223.0, 569.0, 160.0, 18.0], shoonya_10sQC98LHL7U22, 6515090]
[paragraph, [393.0, 570.0, 163.0, 18.0], shoonya_5sLDLRMGDCGG6K, 6515090]
[paragraph, [393.0, 588.0, 163.0, 18.0], shoonya_5sLDLRMGDCGG6K, 6515090]
[paragraph, [393.0, 606.0, 163.0, 18.0], shoonya_5sLDLRMGDCGG6K, 6515090]
[paragraph, [393.0, 624.0, 163.0, 18.0], shoonya_5sLDLRMGDCGG6K, 6515090]
[paragraph, [393.0, 642.0, 163.0, 18.0], shoonya_5sLDLRMGDCGG6K, 6515090]
[paragraph, [393.0, 660.0, 163.0, 18.0], shoonya_5sLDLRMGDCGG6K, 6515090]
[paragraph, [393.0, 678.0, 163.0, 18.0], shoonya_5sLDLRMGDCGG6K, 6515090]
[paragraph, [224.0, 620.0, 162.0, 18.0], shoonya_4s3CZSRSRMWW53, 6515090]
[paragraph, [224.0, 638.0, 162.0, 18.0], shoonya_4s3CZSRSRMWW53, 6515090]
[paragraph, [224.0, 656.0, 162.0, 18.0], shoonya_4s3CZSRSRMWW53, 6515090]
[paragraph, [224.0, 674.0, 162.0, 18.0], shoonya_4s3CZSRSRMWW53, 6515090]
[paragraph, [224.0, 692.0, 162.0, 18.0], shoonya_4s3CZSRSRMWW53, 6515090]
[paragraph, [224.0, 710.0, 162.0, 18.0], shoonya_4s3CZSRSRMWW53, 6515090]
[paragraph, [224.0, 728.0, 162.0, 18.0], shoonya_4s3CZSRSRMWW53, 6515090]
[contact-info, [431.0, 718.0, 122.0, 18.0], Fs6ZJ2MG_R, 6515090]
