[3300, 2550]
[paragraph, [353.0, 284.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 336.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 389.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 441.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 494.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 546.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 599.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 651.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 704.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 756.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 809.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 861.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 914.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 966.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1019.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1071.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1124.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1176.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1229.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1281.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1334.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1386.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1439.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1491.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1544.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1596.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1649.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1701.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1754.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1806.5, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [353.0, 1859.0, 1929.0, 52.5], shoonya_1s6NJQ6Z26NVU9, 5720517]
[paragraph, [357.0, 1970.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2022.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2075.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2127.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2180.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2232.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2285.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2337.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2390.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2442.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2495.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2547.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2600.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2652.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2705.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2757.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2810.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2862.5, 1922.0, 52.5], yZrCkmxEbF, 5720517]
[paragraph, [357.0, 2915.0, 1922.0, 52.5], yZrCkmxEbF, 5720517]
