[1723, 1092]
[paragraph, [171.0, 105.0, 389.0, 36.0], wRpeL6f7RU, 5680317]
[ordered-list, [104.0, 152.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 188.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 224.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 260.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 296.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 332.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 368.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 404.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 440.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 476.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 512.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[ordered-list, [104.0, 548.0, 882.0, 36.0], shoonya_3sT0MCQMHOQZPX, 5680317]
[paragraph, [102.0, 666.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 702.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 738.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 774.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 810.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 846.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 882.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 918.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 954.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 990.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 1026.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 1062.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 1098.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 1134.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [102.0, 1170.0, 864.0, 36.0], shoonya_0sI7OTM2BTAJWA, 5680317]
[paragraph, [148.0, 1223.0, 578.0, 36.0], shoonya_2s4D4BE1OQI16F, 5680317]
[ordered-list, [103.0, 1267.0, 861.0, 36.0], I1qdR64nRM, 5680317]
[ordered-list, [103.0, 1303.0, 861.0, 36.0], I1qdR64nRM, 5680317]
[ordered-list, [103.0, 1339.0, 861.0, 36.0], I1qdR64nRM, 5680317]
[ordered-list, [103.0, 1375.0, 861.0, 36.0], I1qdR64nRM, 5680317]
[ordered-list, [103.0, 1411.0, 861.0, 36.0], I1qdR64nRM, 5680317]
[ordered-list, [103.0, 1447.0, 861.0, 36.0], I1qdR64nRM, 5680317]
[ordered-list, [103.0, 1483.0, 861.0, 36.0], I1qdR64nRM, 5680317]
[folio, [486.0, 1562.0, 131.0, 36.0], pj0lq59Ulf, 5680317]
