[2481, 1654]
[folio, [399.0, 200.0, 202.0, 36.0], Nl2vEHKROr, 5721403]
[folio, [399.0, 236.0, 202.0, 36.0], Nl2vEHKROr, 5721403]
[paragraph, [204.0, 308.0, 1306.0, 36.0], PK01xujfms, 5721403]
[paragraph, [204.0, 344.0, 1306.0, 36.0], PK01xujfms, 5721403]
[paragraph, [204.0, 380.0, 1306.0, 36.0], PK01xujfms, 5721403]
[paragraph, [204.0, 416.0, 1306.0, 36.0], PK01xujfms, 5721403]
[paragraph, [204.0, 452.0, 1306.0, 36.0], PK01xujfms, 5721403]
[paragraph, [204.0, 488.0, 1306.0, 36.0], PK01xujfms, 5721403]
[paragraph, [202.0, 542.0, 1304.0, 36.0], H3BbR1Ausy, 5721403]
[paragraph, [202.0, 578.0, 1304.0, 36.0], H3BbR1Ausy, 5721403]
[paragraph, [202.0, 614.0, 1304.0, 36.0], H3BbR1Ausy, 5721403]
[paragraph, [202.0, 650.0, 1304.0, 36.0], H3BbR1Ausy, 5721403]
[paragraph, [202.0, 686.0, 1304.0, 36.0], H3BbR1Ausy, 5721403]
[paragraph, [198.0, 744.0, 1308.0, 36.0], Zck982fTUB, 5721403]
[paragraph, [198.0, 780.0, 1308.0, 36.0], Zck982fTUB, 5721403]
[paragraph, [194.0, 844.0, 1314.0, 36.0], 4btlUOXgiU, 5721403]
[paragraph, [194.0, 880.0, 1314.0, 36.0], 4btlUOXgiU, 5721403]
[paragraph, [194.0, 916.0, 1314.0, 36.0], 4btlUOXgiU, 5721403]
[paragraph, [194.0, 952.0, 1314.0, 36.0], 4btlUOXgiU, 5721403]
[paragraph, [194.0, 988.0, 1314.0, 36.0], 4btlUOXgiU, 5721403]
[paragraph, [194.0, 1024.0, 1314.0, 36.0], 4btlUOXgiU, 5721403]
[paragraph, [194.0, 1060.0, 1314.0, 36.0], 4btlUOXgiU, 5721403]
[paragraph, [194.0, 1096.0, 1314.0, 36.0], 4btlUOXgiU, 5721403]
[paragraph, [192.0, 1160.0, 1306.0, 36.0], bBCTOGyFbc, 5721403]
[paragraph, [192.0, 1196.0, 1306.0, 36.0], bBCTOGyFbc, 5721403]
[paragraph, [192.0, 1264.0, 1314.0, 36.0], gJBor9iswQ, 5721403]
[paragraph, [192.0, 1300.0, 1314.0, 36.0], gJBor9iswQ, 5721403]
[paragraph, [192.0, 1336.0, 1314.0, 36.0], gJBor9iswQ, 5721403]
[paragraph, [192.0, 1372.0, 1314.0, 36.0], gJBor9iswQ, 5721403]
[paragraph, [192.0, 1408.0, 1314.0, 36.0], gJBor9iswQ, 5721403]
[paragraph, [192.0, 1444.0, 1314.0, 36.0], gJBor9iswQ, 5721403]
[paragraph, [192.0, 1480.0, 1314.0, 36.0], gJBor9iswQ, 5721403]
[paragraph, [188.0, 1527.0, 1314.0, 36.0], TXL2o011g_, 5721403]
[paragraph, [188.0, 1563.0, 1314.0, 36.0], TXL2o011g_, 5721403]
[paragraph, [188.0, 1599.0, 1314.0, 36.0], TXL2o011g_, 5721403]
[paragraph, [188.0, 1635.0, 1314.0, 36.0], TXL2o011g_, 5721403]
[paragraph, [188.0, 1671.0, 1314.0, 36.0], TXL2o011g_, 5721403]
[paragraph, [188.0, 1707.0, 1314.0, 36.0], TXL2o011g_, 5721403]
[paragraph, [188.0, 1743.0, 1314.0, 36.0], TXL2o011g_, 5721403]
[paragraph, [186.0, 1785.0, 1329.0, 36.0], kXsgg4mP-Q, 5721403]
[paragraph, [186.0, 1821.0, 1329.0, 36.0], kXsgg4mP-Q, 5721403]
[paragraph, [186.0, 1857.0, 1329.0, 36.0], kXsgg4mP-Q, 5721403]
[paragraph, [186.0, 1893.0, 1329.0, 36.0], kXsgg4mP-Q, 5721403]
[paragraph, [186.0, 1929.0, 1329.0, 36.0], kXsgg4mP-Q, 5721403]
[paragraph, [186.0, 1965.0, 1329.0, 36.0], kXsgg4mP-Q, 5721403]
[paragraph, [186.0, 2001.0, 1329.0, 36.0], kXsgg4mP-Q, 5721403]
[paragraph, [184.0, 2046.0, 1325.0, 36.0], INAacLp_u7, 5721403]
[paragraph, [184.0, 2082.0, 1325.0, 36.0], INAacLp_u7, 5721403]
[paragraph, [184.0, 2118.0, 1325.0, 36.0], INAacLp_u7, 5721403]
[paragraph, [184.0, 2154.0, 1325.0, 36.0], INAacLp_u7, 5721403]
