[1320, 1176]
[folio, [71.0, 58.0, 148.0, 18.0], shoonya_0sBG10O1Z0038R, 5693999]
[folio, [71.0, 76.0, 148.0, 18.0], shoonya_0sBG10O1Z0038R, 5693999]
[folio, [71.0, 94.0, 148.0, 18.0], shoonya_0sBG10O1Z0038R, 5693999]
[folio, [71.0, 112.0, 148.0, 18.0], shoonya_0sBG10O1Z0038R, 5693999]
[folio, [71.0, 130.0, 148.0, 18.0], shoonya_0sBG10O1Z0038R, 5693999]
[paragraph, [77.0, 189.0, 306.0, 18.0], xgBrewdwRK, 5693999]
[paragraph, [77.0, 207.0, 306.0, 18.0], xgBrewdwRK, 5693999]
[paragraph, [77.0, 225.0, 306.0, 18.0], xgBrewdwRK, 5693999]
[paragraph, [77.0, 243.0, 306.0, 18.0], xgBrewdwRK, 5693999]
[paragraph, [73.0, 280.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 298.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 316.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 334.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 352.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 370.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 388.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 406.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 424.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 442.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [73.0, 460.0, 314.0, 18.0], tHCZjPBqhv, 5693999]
[paragraph, [70.0, 503.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 521.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 539.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 557.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 575.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 593.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 611.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 629.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 647.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 665.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 683.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 701.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 719.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 737.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 755.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[paragraph, [70.0, 773.0, 311.0, 18.0], rJ4HMWMfRi, 5693999]
[answer, [402.0, 673.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 691.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 709.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 727.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 745.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 763.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 781.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 799.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 817.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 835.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [402.0, 853.0, 317.0, 18.0], G97lhGFbgE, 5693999]
[answer, [70.0, 963.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 981.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 999.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1017.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1035.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1053.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1071.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1089.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1107.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1125.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1143.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1161.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1179.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1197.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1215.0, 311.0, 18.0], BTXPHSP093, 5693999]
[answer, [70.0, 1233.0, 311.0, 18.0], BTXPHSP093, 5693999]
