[1288, 837]
[folio, [676.0, 121.0, 96.0, 18.0], S5KbWpMTLI, 5774045]
[folio, [676.0, 139.0, 96.0, 18.0], S5KbWpMTLI, 5774045]
[paragraph, [106.0, 297.0, 664.0, 18.0], shoonya_1sQHXH0K8O2GX1, 5774045]
[paragraph, [106.0, 315.0, 664.0, 18.0], shoonya_1sQHXH0K8O2GX1, 5774045]
[paragraph, [106.0, 333.0, 664.0, 18.0], shoonya_1sQHXH0K8O2GX1, 5774045]
[paragraph, [106.0, 351.0, 664.0, 18.0], shoonya_1sQHXH0K8O2GX1, 5774045]
[paragraph, [106.0, 369.0, 664.0, 18.0], shoonya_1sQHXH0K8O2GX1, 5774045]
[paragraph, [106.0, 387.0, 664.0, 18.0], shoonya_1sQHXH0K8O2GX1, 5774045]
[paragraph, [106.0, 405.0, 664.0, 18.0], shoonya_1sQHXH0K8O2GX1, 5774045]
[unordered-list, [84.0, 434.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 452.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 470.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 488.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 506.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 524.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 542.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 560.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 578.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 596.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 614.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 632.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 650.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 668.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 686.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 704.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 722.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 740.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 758.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 776.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 794.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 812.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 830.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 848.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 866.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 884.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 902.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 920.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 938.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 956.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 974.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 992.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1010.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1028.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1046.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1064.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1082.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1100.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1118.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1136.0, 698.0, 18.0], YOREYKW8r8, 5774045]
[unordered-list, [84.0, 1154.0, 698.0, 18.0], YOREYKW8r8, 5774045]
