[515, 727]
[sub-section-title, [260.0, 82.0, 43.0, 25.5], hk98IpN9ft, 6533929]
[paragraph, [421.0, 101.0, 267.0, 18.0], 3fYpyG-Ut9, 6533929]
[paragraph, [421.0, 119.0, 267.0, 18.0], 3fYpyG-Ut9, 6533929]
[paragraph, [421.0, 137.0, 267.0, 18.0], 3fYpyG-Ut9, 6533929]
[paragraph, [203.0, 107.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 125.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 143.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 161.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 179.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 197.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 215.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 233.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 251.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 269.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 287.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 305.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 323.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 341.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 359.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 377.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 395.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [203.0, 413.0, 164.0, 18.0], L3rNe-v1RR, 6533929]
[paragraph, [415.0, 209.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 227.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 245.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 263.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 281.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 299.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 317.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 335.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 353.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
[paragraph, [415.0, 371.0, 275.0, 18.0], shoonya_0s1MPDYOFZ2RS6, 6533929]
