[1754, 1241]
[folio, [164.0, 105.0, 907.0, 36.0], shoonya_7s25GKWK1Q8OAC, 6477253]
[paragraph, [157.0, 170.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [157.0, 206.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [157.0, 242.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [157.0, 278.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [157.0, 314.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [157.0, 350.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [157.0, 386.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [157.0, 422.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [157.0, 458.0, 977.0, 36.0], shoonya_1sNZRTAKCXP9S3, 6477253]
[paragraph, [162.0, 614.0, 975.0, 36.0], beVGXw7RCg, 6477253]
[paragraph, [162.0, 650.0, 975.0, 36.0], beVGXw7RCg, 6477253]
[paragraph, [162.0, 686.0, 975.0, 36.0], beVGXw7RCg, 6477253]
[paragraph, [162.0, 722.0, 975.0, 36.0], beVGXw7RCg, 6477253]
[paragraph, [162.0, 758.0, 975.0, 36.0], beVGXw7RCg, 6477253]
[paragraph, [162.0, 826.0, 975.0, 36.0], CZhMTY17YR, 6477253]
[paragraph, [162.0, 862.0, 975.0, 36.0], CZhMTY17YR, 6477253]
[paragraph, [162.0, 898.0, 975.0, 36.0], CZhMTY17YR, 6477253]
[paragraph, [162.0, 934.0, 975.0, 36.0], CZhMTY17YR, 6477253]
[paragraph, [162.0, 970.0, 975.0, 36.0], CZhMTY17YR, 6477253]
[paragraph, [162.0, 1006.0, 975.0, 36.0], CZhMTY17YR, 6477253]
[paragraph, [162.0, 1068.0, 972.0, 36.0], 1m-g_vHD_a, 6477253]
[paragraph, [162.0, 1104.0, 972.0, 36.0], 1m-g_vHD_a, 6477253]
[paragraph, [162.0, 1140.0, 972.0, 36.0], 1m-g_vHD_a, 6477253]
[paragraph, [162.0, 1176.0, 972.0, 36.0], 1m-g_vHD_a, 6477253]
[paragraph, [162.0, 1212.0, 972.0, 36.0], 1m-g_vHD_a, 6477253]
[paragraph, [162.0, 1248.0, 972.0, 36.0], 1m-g_vHD_a, 6477253]
[paragraph, [162.0, 1308.0, 974.0, 36.0], 2pCx0UVpao, 6477253]
[paragraph, [162.0, 1344.0, 974.0, 36.0], 2pCx0UVpao, 6477253]
[paragraph, [162.0, 1380.0, 974.0, 36.0], 2pCx0UVpao, 6477253]
[paragraph, [162.0, 1416.0, 974.0, 36.0], 2pCx0UVpao, 6477253]
[paragraph, [162.0, 1452.0, 974.0, 36.0], 2pCx0UVpao, 6477253]
[paragraph, [162.0, 1488.0, 974.0, 36.0], 2pCx0UVpao, 6477253]
[paragraph, [162.0, 1524.0, 974.0, 36.0], 2pCx0UVpao, 6477253]
[paragraph, [162.0, 1560.0, 974.0, 36.0], 2pCx0UVpao, 6477253]
[folio, [547.0, 1655.0, 144.0, 36.0], shoonya_0s92M54VIPPS0E, 6477253]
