[1103, 748]
[section-title, [161.0, 78.0, 449.0, 30.0], shoonya_0s7ER8G08NJ882, 5780680]
[sub-section-title, [181.0, 133.0, 408.0, 25.5], -gEOf7TTSV, 5780680]
[subsub-section-title, [305.0, 171.0, 155.0, 15.0], n47bN0rRRE, 5780680]
[subsub-section-title, [305.0, 186.0, 155.0, 15.0], n47bN0rRRE, 5780680]
[paragraph, [97.0, 212.0, 571.0, 18.0], aglTE1CedU, 5780680]
[paragraph, [97.0, 230.0, 571.0, 18.0], aglTE1CedU, 5780680]
[paragraph, [97.0, 248.0, 571.0, 18.0], aglTE1CedU, 5780680]
[paragraph, [97.0, 266.0, 571.0, 18.0], aglTE1CedU, 5780680]
[paragraph, [97.0, 284.0, 571.0, 18.0], aglTE1CedU, 5780680]
[paragraph, [97.0, 302.0, 571.0, 18.0], aglTE1CedU, 5780680]
[jumpline, [104.0, 326.0, 327.0, 18.0], F9ya27d1MS, 5780680]
[jumpline, [100.0, 361.0, 500.0, 18.0], QTdHWpkE9r, 5780680]
[jumpline, [97.0, 394.0, 433.0, 18.0], DIOuT8g7g_, 5780680]
[subsub-section-title, [278.0, 455.0, 211.0, 15.0], Cz7GrCaZTd, 5780680]
[paragraph, [85.0, 504.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 522.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 540.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 558.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 576.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 594.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 612.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 630.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 648.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 666.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 684.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 702.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 720.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 738.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 756.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[paragraph, [85.0, 774.0, 584.0, 18.0], WVHfi1IDjj, 5780680]
[folio, [198.0, 942.0, 358.0, 18.0], 6X349L4-BQ, 5780680]
[quote, [311.0, 942.0, 238.0, 18.0], e0r9ko2_Zp, 5780680]
