[2200, 1700]
[paragraph, [262.0, 60.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 96.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 132.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 168.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 204.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 240.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 276.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 312.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 348.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 384.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 420.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 456.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 492.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 528.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 564.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 600.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 636.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 672.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 708.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 744.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 780.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 816.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 852.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 888.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 924.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 960.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 996.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1032.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1068.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1104.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1140.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1176.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1212.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1248.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1284.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1320.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1356.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1392.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1428.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1464.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1500.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1536.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1572.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1608.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1644.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1680.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1716.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1752.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [262.0, 1788.0, 1099.0, 36.0], shoonya_0sGI29X32BFGD1, 5731170]
[paragraph, [396.0, 1860.0, 957.0, 36.0], ZhbWPz8sOU, 5731170]
[paragraph, [396.0, 1896.0, 957.0, 36.0], ZhbWPz8sOU, 5731170]
[folio, [261.0, 2011.0, 354.0, 36.0], BCUNW1iDJm, 5731170]
