[1787, 1218]
[paragraph, [107.0, 393.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 429.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 465.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 501.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 537.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 573.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 609.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 645.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 681.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [107.0, 717.0, 1020.0, 36.0], shoonya_1sY13TT7EVUCM2, 5651113]
[paragraph, [110.0, 779.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 815.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 851.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 887.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 923.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 959.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 995.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1031.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1067.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1103.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1139.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1175.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1211.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1247.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1283.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1319.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1355.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1391.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1427.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [110.0, 1463.0, 1008.0, 36.0], shoonya_0sMK4Q9SBL7ZWY, 5651113]
[paragraph, [115.0, 1526.0, 998.0, 36.0], 3sRMzyThit, 5651113]
[paragraph, [115.0, 1562.0, 998.0, 36.0], 3sRMzyThit, 5651113]
[paragraph, [115.0, 1598.0, 998.0, 36.0], 3sRMzyThit, 5651113]
[paragraph, [115.0, 1634.0, 998.0, 36.0], 3sRMzyThit, 5651113]
