[1200, 825]
[paragraph, [128.0, 108.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 126.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 144.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 162.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 180.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 198.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 216.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 234.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 252.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 270.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 288.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 306.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 324.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 342.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 360.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 378.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 396.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 414.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 432.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 450.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 468.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 486.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 504.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 522.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 540.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 558.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 576.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [128.0, 594.0, 562.0, 18.0], shoonya_0sMF428Q90XZBH, 5691336]
[paragraph, [136.0, 629.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 647.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 665.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 683.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 701.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 719.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 737.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 755.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 773.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 791.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 809.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 827.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 845.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 863.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 881.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 899.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 917.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 935.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 953.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 971.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 989.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 1007.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 1025.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
[paragraph, [136.0, 1043.0, 551.0, 18.0], BPu8qi_tuZ, 5691336]
