[2200, 1700]
[paragraph, [284.0, 45.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 81.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 117.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 153.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 189.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 225.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 261.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 297.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 333.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 369.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 405.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 441.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 477.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 513.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 549.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 585.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 621.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 657.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [284.0, 693.0, 1105.0, 36.0], shoonya_1sW86MD64FN985, 5731377]
[paragraph, [286.0, 744.0, 1092.0, 36.0], shoonya_3sU7J1JYHRZ3N0, 5731377]
[paragraph, [286.0, 780.0, 1092.0, 36.0], shoonya_3sU7J1JYHRZ3N0, 5731377]
[paragraph, [286.0, 816.0, 1092.0, 36.0], shoonya_3sU7J1JYHRZ3N0, 5731377]
[paragraph, [286.0, 852.0, 1092.0, 36.0], shoonya_3sU7J1JYHRZ3N0, 5731377]
[paragraph, [286.0, 888.0, 1092.0, 36.0], shoonya_3sU7J1JYHRZ3N0, 5731377]
[paragraph, [286.0, 924.0, 1092.0, 36.0], shoonya_3sU7J1JYHRZ3N0, 5731377]
[paragraph, [286.0, 960.0, 1092.0, 36.0], shoonya_3sU7J1JYHRZ3N0, 5731377]
[paragraph, [288.0, 1042.0, 1084.0, 36.0], shoonya_2s3OQRMHBOITX1, 5731377]
[paragraph, [288.0, 1078.0, 1084.0, 36.0], shoonya_2s3OQRMHBOITX1, 5731377]
[paragraph, [288.0, 1114.0, 1084.0, 36.0], shoonya_2s3OQRMHBOITX1, 5731377]
[paragraph, [288.0, 1150.0, 1084.0, 36.0], shoonya_2s3OQRMHBOITX1, 5731377]
[paragraph, [287.0, 1221.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1257.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1293.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1329.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1365.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1401.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1437.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1473.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1509.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1545.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [287.0, 1581.0, 1086.0, 36.0], shoonya_0sUUH2TFONLXV7, 5731377]
[paragraph, [288.0, 1631.0, 1089.0, 36.0], shoonya_5sX1608S5PU0BQ, 5731377]
[paragraph, [288.0, 1667.0, 1089.0, 36.0], shoonya_5sX1608S5PU0BQ, 5731377]
[paragraph, [288.0, 1703.0, 1089.0, 36.0], shoonya_5sX1608S5PU0BQ, 5731377]
[paragraph, [288.0, 1739.0, 1089.0, 36.0], shoonya_5sX1608S5PU0BQ, 5731377]
[paragraph, [292.0, 1817.0, 1099.0, 36.0], f4TjXNRYr7, 5731377]
[paragraph, [292.0, 1853.0, 1099.0, 36.0], f4TjXNRYr7, 5731377]
[paragraph, [292.0, 1889.0, 1099.0, 36.0], f4TjXNRYr7, 5731377]
[folio, [929.0, 1991.0, 360.0, 36.0], CDgmskOQjR, 5731377]
