[2339, 1654]
[folio, [140.0, 49.0, 192.0, 36.0], seRs42gFea, 5750532]
[paragraph, [134.0, 105.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 141.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 177.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 213.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 249.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 285.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 321.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 357.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 393.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 429.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 465.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 501.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 537.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 573.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 609.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 645.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 681.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 717.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 753.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 789.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 825.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 861.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 897.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 933.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 969.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1005.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1041.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1077.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1113.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1149.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1185.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1221.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1257.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1293.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1329.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1365.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1401.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1437.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1473.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1509.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1545.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1581.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1617.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1653.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1689.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1725.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1761.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1797.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1833.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1869.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1905.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1941.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 1977.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 2013.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 2049.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [134.0, 2085.0, 1455.0, 36.0], TTFsfAXkR_, 5750532]
[paragraph, [241.0, 2136.0, 1360.0, 36.0], fM3Ha3_MBU, 5750532]
[paragraph, [241.0, 2172.0, 1360.0, 36.0], fM3Ha3_MBU, 5750532]
