[2339, 1653]
[paragraph, [116.0, 146.0, 985.0, 36.0], 5JZ75z6NhS, 5750806]
[paragraph, [116.0, 182.0, 985.0, 36.0], 5JZ75z6NhS, 5750806]
[paragraph, [113.0, 250.0, 683.0, 36.0], xmalKjfIX9, 5750806]
[paragraph, [113.0, 286.0, 683.0, 36.0], xmalKjfIX9, 5750806]
[paragraph, [107.0, 353.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 389.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 425.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 461.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 497.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 533.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 569.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 605.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 641.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 677.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [107.0, 713.0, 1441.0, 36.0], WMX6V19RYm, 5750806]
[paragraph, [113.0, 794.0, 1052.0, 36.0], JO4ND8p1Qr, 5750806]
[paragraph, [113.0, 830.0, 1052.0, 36.0], JO4ND8p1Qr, 5750806]
[paragraph, [107.0, 894.0, 1450.0, 36.0], 6XukHAmJxi, 5750806]
[paragraph, [107.0, 930.0, 1450.0, 36.0], 6XukHAmJxi, 5750806]
[paragraph, [107.0, 966.0, 1450.0, 36.0], 6XukHAmJxi, 5750806]
[paragraph, [107.0, 1002.0, 1450.0, 36.0], 6XukHAmJxi, 5750806]
[paragraph, [99.0, 1086.0, 1429.0, 36.0], soJn89WQy-, 5750806]
[paragraph, [99.0, 1122.0, 1429.0, 36.0], soJn89WQy-, 5750806]
[paragraph, [99.0, 1158.0, 1429.0, 36.0], soJn89WQy-, 5750806]
[paragraph, [99.0, 1194.0, 1429.0, 36.0], soJn89WQy-, 5750806]
[paragraph, [99.0, 1230.0, 1429.0, 36.0], soJn89WQy-, 5750806]
[paragraph, [99.0, 1266.0, 1429.0, 36.0], soJn89WQy-, 5750806]
[paragraph, [99.0, 1302.0, 1429.0, 36.0], soJn89WQy-, 5750806]
[paragraph, [120.0, 1362.0, 1396.0, 36.0], IVxSNZhjL2, 5750806]
[paragraph, [120.0, 1398.0, 1396.0, 36.0], IVxSNZhjL2, 5750806]
[paragraph, [120.0, 1434.0, 1396.0, 36.0], IVxSNZhjL2, 5750806]
[paragraph, [120.0, 1470.0, 1396.0, 36.0], IVxSNZhjL2, 5750806]
[paragraph, [120.0, 1506.0, 1396.0, 36.0], IVxSNZhjL2, 5750806]
[paragraph, [113.0, 1562.0, 1410.0, 36.0], 2cs3A9YyI0, 5750806]
[paragraph, [113.0, 1598.0, 1410.0, 36.0], 2cs3A9YyI0, 5750806]
[paragraph, [113.0, 1634.0, 1410.0, 36.0], 2cs3A9YyI0, 5750806]
[paragraph, [113.0, 1670.0, 1410.0, 36.0], 2cs3A9YyI0, 5750806]
[paragraph, [113.0, 1706.0, 1410.0, 36.0], 2cs3A9YyI0, 5750806]
[paragraph, [120.0, 1763.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 1799.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 1835.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 1871.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 1907.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 1943.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 1979.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 2015.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 2051.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
[paragraph, [120.0, 2087.0, 1429.0, 36.0], BCUnVuhYWB, 5750806]
