[1571, 1128]
[folio, [740.0, 76.0, 274.0, 36.0], shoonya_8s21QH8DTEYOB9, 6471982]
[folio, [740.0, 112.0, 274.0, 36.0], shoonya_8s21QH8DTEYOB9, 6471982]
[headline, [121.0, 207.0, 679.0, 37.5], shoonya_6sBHZIO0UCS1J1, 6471982]
[headline, [121.0, 244.5, 679.0, 37.5], shoonya_6sBHZIO0UCS1J1, 6471982]
[quote, [117.0, 334.0, 352.0, 36.0], shoonya_0sUW51KT87KWIN, 6471982]
[quote, [117.0, 370.0, 352.0, 36.0], shoonya_0sUW51KT87KWIN, 6471982]
[quote, [117.0, 406.0, 352.0, 36.0], shoonya_0sUW51KT87KWIN, 6471982]
[paragraph, [486.0, 341.0, 354.0, 36.0], shoonya_2s2U3MUWOL7J7W, 6471982]
[paragraph, [486.0, 377.0, 354.0, 36.0], shoonya_2s2U3MUWOL7J7W, 6471982]
[paragraph, [486.0, 413.0, 354.0, 36.0], shoonya_2s2U3MUWOL7J7W, 6471982]
[paragraph, [486.0, 449.0, 354.0, 36.0], shoonya_2s2U3MUWOL7J7W, 6471982]
[paragraph, [486.0, 485.0, 354.0, 36.0], shoonya_2s2U3MUWOL7J7W, 6471982]
[paragraph, [486.0, 521.0, 354.0, 36.0], shoonya_2s2U3MUWOL7J7W, 6471982]
[paragraph, [486.0, 557.0, 354.0, 36.0], shoonya_2s2U3MUWOL7J7W, 6471982]
[paragraph, [486.0, 593.0, 354.0, 36.0], shoonya_2s2U3MUWOL7J7W, 6471982]
[paragraph, [115.0, 467.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 503.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 539.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 575.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 611.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 647.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 683.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 719.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 755.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 791.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 827.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 863.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 899.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 935.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[paragraph, [115.0, 971.0, 343.0, 36.0], shoonya_4s2E4IN3SL1BYZ, 6471982]
[sidebar, [508.0, 655.0, 439.0, 36.0], shoonya_9sJ45HIT9Y1X7V, 6471982]
[sidebar, [508.0, 691.0, 439.0, 36.0], shoonya_9sJ45HIT9Y1X7V, 6471982]
[paragraph, [115.0, 1022.0, 344.0, 36.0], shoonya_3sZHMM7LMA7HAS, 6471982]
[paragraph, [115.0, 1058.0, 344.0, 36.0], shoonya_3sZHMM7LMA7HAS, 6471982]
[paragraph, [115.0, 1094.0, 344.0, 36.0], shoonya_3sZHMM7LMA7HAS, 6471982]
[paragraph, [115.0, 1130.0, 344.0, 36.0], shoonya_3sZHMM7LMA7HAS, 6471982]
[paragraph, [115.0, 1166.0, 344.0, 36.0], shoonya_3sZHMM7LMA7HAS, 6471982]
[paragraph, [115.0, 1202.0, 344.0, 36.0], shoonya_3sZHMM7LMA7HAS, 6471982]
[paragraph, [486.0, 1060.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [486.0, 1096.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [486.0, 1132.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [486.0, 1168.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [486.0, 1204.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [486.0, 1240.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [486.0, 1276.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [486.0, 1312.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [486.0, 1348.0, 359.0, 36.0], xVWoqbKwRS, 6471982]
[paragraph, [115.0, 1248.0, 318.0, 36.0], shoonya_1sACYSVHOWTTLW, 6471982]
[paragraph, [115.0, 1284.0, 318.0, 36.0], shoonya_1sACYSVHOWTTLW, 6471982]
[paragraph, [115.0, 1320.0, 318.0, 36.0], shoonya_1sACYSVHOWTTLW, 6471982]
[paragraph, [115.0, 1356.0, 318.0, 36.0], shoonya_1sACYSVHOWTTLW, 6471982]
[paragraph, [115.0, 1392.0, 318.0, 36.0], shoonya_1sACYSVHOWTTLW, 6471982]
[folio, [853.0, 1459.0, 60.0, 36.0], p8UdAv1xsZ, 6471982]
