[1050, 693]
[folio, [520.0, 73.0, 89.0, 18.0], shoonya_0s1PA6LR7TJ4BG, 5702631]
[folio, [520.0, 91.0, 89.0, 18.0], shoonya_0s1PA6LR7TJ4BG, 5702631]
[paragraph, [79.0, 119.0, 538.0, 18.0], shoonya_1sCQORSR3FIMEN, 5702631]
[paragraph, [79.0, 137.0, 538.0, 18.0], shoonya_1sCQORSR3FIMEN, 5702631]
[paragraph, [79.0, 155.0, 538.0, 18.0], shoonya_1sCQORSR3FIMEN, 5702631]
[paragraph, [79.0, 173.0, 538.0, 18.0], shoonya_1sCQORSR3FIMEN, 5702631]
[paragraph, [79.0, 191.0, 538.0, 18.0], shoonya_1sCQORSR3FIMEN, 5702631]
[paragraph, [79.0, 209.0, 538.0, 18.0], shoonya_1sCQORSR3FIMEN, 5702631]
[paragraph, [79.0, 227.0, 538.0, 18.0], shoonya_1sCQORSR3FIMEN, 5702631]
[paragraph, [84.0, 249.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 267.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 285.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 303.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 321.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 339.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 357.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 375.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 393.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [84.0, 411.0, 529.0, 18.0], vYsacDbWMR, 5702631]
[paragraph, [79.0, 442.0, 533.0, 18.0], do8Ot7c_ck, 5702631]
[paragraph, [79.0, 460.0, 533.0, 18.0], do8Ot7c_ck, 5702631]
[paragraph, [79.0, 478.0, 533.0, 18.0], do8Ot7c_ck, 5702631]
[paragraph, [79.0, 496.0, 533.0, 18.0], do8Ot7c_ck, 5702631]
[paragraph, [80.0, 531.0, 535.0, 18.0], TxDPUZ5ezA, 5702631]
[paragraph, [80.0, 549.0, 535.0, 18.0], TxDPUZ5ezA, 5702631]
[paragraph, [80.0, 567.0, 535.0, 18.0], TxDPUZ5ezA, 5702631]
[paragraph, [80.0, 585.0, 535.0, 18.0], TxDPUZ5ezA, 5702631]
[paragraph, [80.0, 603.0, 535.0, 18.0], TxDPUZ5ezA, 5702631]
[paragraph, [94.0, 628.0, 512.0, 18.0], ZKu2LIt09e, 5702631]
[paragraph, [94.0, 646.0, 512.0, 18.0], ZKu2LIt09e, 5702631]
[paragraph, [94.0, 664.0, 512.0, 18.0], ZKu2LIt09e, 5702631]
[paragraph, [79.0, 690.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 708.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 726.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 744.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 762.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 780.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 798.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 816.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 834.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [79.0, 852.0, 527.0, 18.0], WMpoMmwHS5, 5702631]
[paragraph, [74.0, 880.0, 543.0, 18.0], fiChZHMwHj, 5702631]
[paragraph, [74.0, 898.0, 543.0, 18.0], fiChZHMwHj, 5702631]
[paragraph, [74.0, 916.0, 543.0, 18.0], fiChZHMwHj, 5702631]
[paragraph, [74.0, 934.0, 543.0, 18.0], fiChZHMwHj, 5702631]
[paragraph, [74.0, 952.0, 543.0, 18.0], fiChZHMwHj, 5702631]
