[1650, 1275]
[paragraph, [185.0, 140.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 176.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 212.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 248.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 284.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 320.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 356.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 392.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 428.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 464.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [185.0, 500.0, 905.0, 36.0], shoonya_2sC0EF9I5E67OG, 5704353]
[paragraph, [184.0, 568.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 604.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 640.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 676.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 712.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 748.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 784.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 820.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 856.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 892.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 928.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 964.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1000.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1036.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1072.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1108.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1144.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1180.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1216.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1252.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1288.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1324.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1360.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
[paragraph, [184.0, 1396.0, 905.0, 36.0], shoonya_1sWY1HGBZCYA7R, 5704353]
