[2200, 1700]
[section-title, [195.0, 233.0, 199.0, 52.5], aWPiOonFv0, 5659164]
[unordered-list, [220.0, 306.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 342.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 378.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 414.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 450.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 486.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 522.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 558.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 594.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 630.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 666.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 702.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 738.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 774.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 810.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 846.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 882.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
[unordered-list, [220.0, 918.0, 998.0, 36.0], shoonya_1sLRVRZACOZKWZ, 5659164]
