[792, 612]
[section-title, [313.0, 251.0, 152.0, 30.0], OYKSHhZt8j, 6516124]
[sidebar, [230.0, 334.0, 311.0, 18.0], Bxl9rDt0E1, 6516124]
[sidebar, [230.0, 352.0, 311.0, 18.0], Bxl9rDt0E1, 6516124]
[sidebar, [230.0, 370.0, 311.0, 18.0], Bxl9rDt0E1, 6516124]
[sidebar, [230.0, 388.0, 311.0, 18.0], Bxl9rDt0E1, 6516124]
[sidebar, [230.0, 406.0, 311.0, 18.0], Bxl9rDt0E1, 6516124]
[paragraph, [231.0, 440.0, 151.0, 18.0], Ad6eytXt7M, 6516124]
[paragraph, [231.0, 458.0, 151.0, 18.0], Ad6eytXt7M, 6516124]
[paragraph, [231.0, 476.0, 151.0, 18.0], Ad6eytXt7M, 6516124]
[paragraph, [231.0, 494.0, 151.0, 18.0], Ad6eytXt7M, 6516124]
[paragraph, [231.0, 512.0, 151.0, 18.0], Ad6eytXt7M, 6516124]
[paragraph, [231.0, 530.0, 151.0, 18.0], Ad6eytXt7M, 6516124]
[paragraph, [231.0, 548.0, 151.0, 18.0], Ad6eytXt7M, 6516124]
[paragraph, [231.0, 566.0, 151.0, 18.0], Ad6eytXt7M, 6516124]
[paragraph, [384.0, 443.0, 156.0, 18.0], dso6ktLG5I, 6516124]
[paragraph, [384.0, 461.0, 156.0, 18.0], dso6ktLG5I, 6516124]
[paragraph, [389.0, 488.0, 150.0, 18.0], WZhk12vXi2, 6516124]
[paragraph, [389.0, 506.0, 150.0, 18.0], WZhk12vXi2, 6516124]
[paragraph, [389.0, 524.0, 150.0, 18.0], WZhk12vXi2, 6516124]
[paragraph, [389.0, 542.0, 150.0, 18.0], WZhk12vXi2, 6516124]
[paragraph, [389.0, 560.0, 150.0, 18.0], WZhk12vXi2, 6516124]
[paragraph, [389.0, 578.0, 150.0, 18.0], WZhk12vXi2, 6516124]
[paragraph, [389.0, 596.0, 150.0, 18.0], WZhk12vXi2, 6516124]
[paragraph, [389.0, 614.0, 150.0, 18.0], WZhk12vXi2, 6516124]
[paragraph, [231.0, 589.0, 145.0, 18.0], 3b9vB1d33K, 6516124]
[paragraph, [231.0, 607.0, 145.0, 18.0], 3b9vB1d33K, 6516124]
