[612, 504]
[section-title, [30.0, 32.0, 340.0, 30.0], _UcaIxgjTf, 5725742]
[paragraph, [33.0, 82.0, 250.0, 18.0], Y768KBA_FE, 5725742]
[answer, [224.0, 120.0, 233.0, 18.0], Nl0AK84cBi, 5725742]
[unordered-list, [225.0, 149.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 167.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 185.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 203.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 221.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 239.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 257.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 275.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 293.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 311.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 329.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 347.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 365.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 383.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 401.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 419.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
[unordered-list, [225.0, 437.0, 238.0, 18.0], shoonya_0sIVP33GFE2AK3, 5725742]
