[1684, 1191]
[ordered-list, [70.0, 166.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 202.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 238.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 274.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 310.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 346.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 382.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 418.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 454.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 490.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 526.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 562.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 598.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 634.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 670.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 706.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 742.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 778.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 814.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 850.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 886.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 922.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 958.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 994.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1030.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1066.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1102.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1138.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1174.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1210.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1246.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1282.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1318.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1354.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1390.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[ordered-list, [70.0, 1426.0, 1094.0, 36.0], shoonya_5sY6FNITPJPYUK, 6464307]
[sub-ordered-list, [97.0, 763.0, 935.0, 36.0], shoonya_6sGURLJLI1JW6A, 6464307]
[sub-ordered-list, [97.0, 799.0, 935.0, 36.0], shoonya_6sGURLJLI1JW6A, 6464307]
[sub-ordered-list, [97.0, 835.0, 935.0, 36.0], shoonya_6sGURLJLI1JW6A, 6464307]
[sub-ordered-list, [97.0, 871.0, 935.0, 36.0], shoonya_6sGURLJLI1JW6A, 6464307]
[sub-ordered-list, [97.0, 907.0, 935.0, 36.0], shoonya_6sGURLJLI1JW6A, 6464307]
[sub-ordered-list, [97.0, 943.0, 935.0, 36.0], shoonya_6sGURLJLI1JW6A, 6464307]
[sub-ordered-list, [97.0, 979.0, 935.0, 36.0], shoonya_6sGURLJLI1JW6A, 6464307]
[footnote, [93.0, 1484.0, 923.0, 36.0], shoonya_4sTYYRIJDQ76N2, 6464307]
[footnote, [93.0, 1520.0, 923.0, 36.0], shoonya_4sTYYRIJDQ76N2, 6464307]
[footnote, [93.0, 1556.0, 923.0, 36.0], shoonya_4sTYYRIJDQ76N2, 6464307]
