[668, 446]
[chapter-title, [100.0, 163.0, 247.0, 30.0], KqRpYwMAET, 6494367]
[paragraph, [174.0, 213.0, 101.0, 18.0], XeOecdItAe, 6494367]
[paragraph, [39.0, 313.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 331.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 349.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 367.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 385.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 403.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 421.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 439.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 457.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 475.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 493.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 511.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 529.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 547.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 565.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
[paragraph, [39.0, 583.0, 384.0, 18.0], _ZZ2XhAbaI, 6494367]
