[1162, 749]
[folio, [307.0, 76.0, 125.0, 18.0], shoonya_1sGRHJJL62S90C, 5699601]
[paragraph, [77.0, 117.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 135.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 153.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 171.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 189.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 207.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 225.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 243.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 261.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 279.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 297.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 315.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 333.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 351.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 369.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 387.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 405.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 423.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 441.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 459.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 477.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 495.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 513.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 531.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 549.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 567.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 585.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [77.0, 603.0, 579.0, 18.0], shoonya_0sO03K53TMAKV5, 5699601]
[paragraph, [82.0, 642.0, 582.0, 18.0], shoonya_2sQU12CPISRPU5, 5699601]
[paragraph, [82.0, 660.0, 582.0, 18.0], shoonya_2sQU12CPISRPU5, 5699601]
[paragraph, [82.0, 678.0, 582.0, 18.0], shoonya_2sQU12CPISRPU5, 5699601]
[paragraph, [82.0, 696.0, 582.0, 18.0], shoonya_2sQU12CPISRPU5, 5699601]
[paragraph, [82.0, 714.0, 582.0, 18.0], shoonya_2sQU12CPISRPU5, 5699601]
[paragraph, [82.0, 732.0, 582.0, 18.0], shoonya_2sQU12CPISRPU5, 5699601]
[paragraph, [82.0, 750.0, 582.0, 18.0], shoonya_2sQU12CPISRPU5, 5699601]
[paragraph, [81.0, 781.0, 586.0, 18.0], shoonya_4sLLEFSK925LF3, 5699601]
[paragraph, [81.0, 799.0, 586.0, 18.0], shoonya_4sLLEFSK925LF3, 5699601]
[paragraph, [81.0, 817.0, 586.0, 18.0], shoonya_4sLLEFSK925LF3, 5699601]
[paragraph, [81.0, 835.0, 586.0, 18.0], shoonya_4sLLEFSK925LF3, 5699601]
[paragraph, [81.0, 853.0, 586.0, 18.0], shoonya_4sLLEFSK925LF3, 5699601]
[section-title, [74.0, 897.0, 598.0, 30.0], Oy7H776-qM, 5699601]
[paragraph, [85.0, 950.0, 590.0, 18.0], shoonya_3s573MIZMUTENM, 5699601]
[paragraph, [85.0, 968.0, 590.0, 18.0], shoonya_3s573MIZMUTENM, 5699601]
[paragraph, [85.0, 986.0, 590.0, 18.0], shoonya_3s573MIZMUTENM, 5699601]
[paragraph, [85.0, 1004.0, 590.0, 18.0], shoonya_3s573MIZMUTENM, 5699601]
[paragraph, [85.0, 1022.0, 590.0, 18.0], shoonya_3s573MIZMUTENM, 5699601]
[footnote, [99.0, 1064.0, 478.0, 18.0], TK9881OXbh, 5699601]
