[1987, 1270]
[folio, [594.0, 125.0, 95.0, 36.0], shoonya_1sHRS7AA3QN0I5, 5681918]
[paragraph, [130.0, 196.0, 1014.0, 36.0], va0n6mncG4, 5681918]
[paragraph, [130.0, 232.0, 1014.0, 36.0], va0n6mncG4, 5681918]
[paragraph, [130.0, 268.0, 1014.0, 36.0], va0n6mncG4, 5681918]
[paragraph, [130.0, 304.0, 1014.0, 36.0], va0n6mncG4, 5681918]
[paragraph, [130.0, 340.0, 1014.0, 36.0], va0n6mncG4, 5681918]
[paragraph, [125.0, 404.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 440.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 476.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 512.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 548.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 584.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 620.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 656.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 692.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 728.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 764.0, 1023.0, 36.0], 3O4u2XHYoT, 5681918]
[paragraph, [125.0, 826.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 862.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 898.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 934.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 970.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1006.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1042.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1078.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1114.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1150.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1186.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1222.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1258.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1294.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1330.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1366.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1402.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [125.0, 1438.0, 1025.0, 36.0], 8qT1I0ZDTM, 5681918]
[paragraph, [122.0, 1502.0, 1030.0, 36.0], C-V1dv92Ml, 5681918]
[paragraph, [122.0, 1538.0, 1030.0, 36.0], C-V1dv92Ml, 5681918]
[paragraph, [122.0, 1574.0, 1030.0, 36.0], C-V1dv92Ml, 5681918]
[paragraph, [122.0, 1610.0, 1030.0, 36.0], C-V1dv92Ml, 5681918]
[paragraph, [122.0, 1646.0, 1030.0, 36.0], C-V1dv92Ml, 5681918]
[paragraph, [122.0, 1682.0, 1030.0, 36.0], C-V1dv92Ml, 5681918]
[paragraph, [122.0, 1718.0, 1030.0, 36.0], C-V1dv92Ml, 5681918]
[paragraph, [122.0, 1754.0, 1030.0, 36.0], C-V1dv92Ml, 5681918]
[paragraph, [173.0, 1818.0, 976.0, 36.0], to3UVsCy5K, 5681918]
