[1091, 691]
[paragraph, [50.0, 102.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 120.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 138.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 156.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 174.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 192.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 210.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 228.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 246.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 264.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [50.0, 282.0, 582.0, 18.0], shoonya_2s6CHZRP1RIZHS, 5760076]
[paragraph, [52.0, 304.0, 582.0, 18.0], shoonya_1sM2WMDFLYN4SD, 5760076]
[paragraph, [52.0, 322.0, 582.0, 18.0], shoonya_1sM2WMDFLYN4SD, 5760076]
[paragraph, [52.0, 340.0, 582.0, 18.0], shoonya_1sM2WMDFLYN4SD, 5760076]
[paragraph, [52.0, 358.0, 582.0, 18.0], shoonya_1sM2WMDFLYN4SD, 5760076]
[paragraph, [51.0, 385.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 403.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 421.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 439.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 457.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 475.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 493.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 511.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 529.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 547.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 565.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 583.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 601.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 619.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 637.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 655.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 673.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 691.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 709.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 727.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 745.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 763.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 781.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 799.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 817.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 835.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 853.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 871.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 889.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
[paragraph, [51.0, 907.0, 579.0, 18.0], shoonya_0sUNBSN63RAIF5, 5760076]
