[792, 612]
[paragraph, [65.0, 70.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 88.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 106.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 124.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 142.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 160.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 178.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 196.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 214.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 232.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 250.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 268.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 286.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 304.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 322.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [65.0, 340.0, 484.0, 18.0], shoonya_0sMY645HKHB8OW, 5759740]
[paragraph, [64.0, 375.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 393.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 411.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 429.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 447.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 465.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 483.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 501.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 519.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 537.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 555.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 573.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 591.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 609.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 627.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 645.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [64.0, 663.0, 485.0, 18.0], BuIK3CnYO_, 5759740]
[paragraph, [63.0, 699.0, 486.0, 18.0], VDJsnUDsHG, 5759740]
