[1625, 1211]
[paragraph, [796.0, 95.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 131.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 167.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 203.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 239.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 275.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 311.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 347.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 383.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 419.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 455.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 491.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 527.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 563.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 599.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 635.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 671.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 707.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 743.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 779.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 815.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 851.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 887.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 923.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 959.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 995.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1031.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1067.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1103.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1139.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1175.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1211.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1247.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1283.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1319.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1355.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1391.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [796.0, 1427.0, 341.0, 36.0], shoonya_0s4E059PBE3TFL, 5742035]
[paragraph, [72.0, 101.0, 355.0, 36.0], AdG2le6jqE, 5742035]
[paragraph, [72.0, 137.0, 355.0, 36.0], AdG2le6jqE, 5742035]
[paragraph, [430.0, 107.0, 353.0, 36.0], M-QJ6nhXw6, 5742035]
[paragraph, [430.0, 143.0, 353.0, 36.0], M-QJ6nhXw6, 5742035]
[paragraph, [430.0, 179.0, 353.0, 36.0], M-QJ6nhXw6, 5742035]
[section-title, [105.0, 181.0, 255.0, 49.5], qa61LBppQT, 5742035]
[paragraph, [433.0, 243.0, 349.0, 36.0], xkJ_RqPlRZ, 5742035]
[paragraph, [433.0, 279.0, 349.0, 36.0], xkJ_RqPlRZ, 5742035]
[paragraph, [433.0, 315.0, 349.0, 36.0], xkJ_RqPlRZ, 5742035]
[paragraph, [433.0, 351.0, 349.0, 36.0], xkJ_RqPlRZ, 5742035]
[paragraph, [433.0, 387.0, 349.0, 36.0], xkJ_RqPlRZ, 5742035]
[paragraph, [433.0, 423.0, 349.0, 36.0], xkJ_RqPlRZ, 5742035]
