[2339, 1653]
[folio, [995.0, 148.0, 495.0, 36.0], shoonya_5sBTIKN9NAFGA8, 5685638]
[paragraph, [321.0, 249.0, 1164.0, 36.0], shoonya_3sU77GIPK3TLPU, 5685638]
[paragraph, [321.0, 285.0, 1164.0, 36.0], shoonya_3sU77GIPK3TLPU, 5685638]
[paragraph, [322.0, 362.0, 1165.0, 36.0], shoonya_0sKQCJPX6051J5, 5685638]
[paragraph, [322.0, 398.0, 1165.0, 36.0], shoonya_0sKQCJPX6051J5, 5685638]
[paragraph, [322.0, 434.0, 1165.0, 36.0], shoonya_0sKQCJPX6051J5, 5685638]
[paragraph, [322.0, 470.0, 1165.0, 36.0], shoonya_0sKQCJPX6051J5, 5685638]
[paragraph, [322.0, 506.0, 1165.0, 36.0], shoonya_0sKQCJPX6051J5, 5685638]
[paragraph, [322.0, 542.0, 1165.0, 36.0], shoonya_0sKQCJPX6051J5, 5685638]
[paragraph, [322.0, 578.0, 1165.0, 36.0], shoonya_0sKQCJPX6051J5, 5685638]
[paragraph, [322.0, 614.0, 1165.0, 36.0], shoonya_0sKQCJPX6051J5, 5685638]
[paragraph, [321.0, 678.0, 1167.0, 36.0], shoonya_4sNVJCHF3SOT98, 5685638]
[paragraph, [321.0, 714.0, 1167.0, 36.0], shoonya_4sNVJCHF3SOT98, 5685638]
[section-title, [167.0, 800.0, 733.0, 52.5], shoonya_7sBDVMFN6P09B9, 5685638]
[paragraph, [317.0, 888.0, 1172.0, 36.0], f5zxxI7dSs, 5685638]
[paragraph, [317.0, 924.0, 1172.0, 36.0], f5zxxI7dSs, 5685638]
[paragraph, [317.0, 960.0, 1172.0, 36.0], f5zxxI7dSs, 5685638]
[paragraph, [318.0, 1003.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1039.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1075.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1111.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1147.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1183.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1219.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1255.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1291.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1327.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[paragraph, [318.0, 1363.0, 1171.0, 36.0], shoonya_2sDPOXO038EDTQ, 5685638]
[section-title, [167.0, 1445.0, 630.0, 52.5], shoonya_6sJPYXEE8FP53B, 5685638]
[paragraph, [317.0, 1532.0, 1172.0, 36.0], WHNFM7VFOH, 5685638]
[paragraph, [317.0, 1568.0, 1172.0, 36.0], WHNFM7VFOH, 5685638]
[paragraph, [317.0, 1604.0, 1172.0, 36.0], WHNFM7VFOH, 5685638]
[paragraph, [317.0, 1640.0, 1172.0, 36.0], WHNFM7VFOH, 5685638]
[paragraph, [315.0, 1686.0, 1182.0, 36.0], n08b22YlSF, 5685638]
[paragraph, [315.0, 1722.0, 1182.0, 36.0], n08b22YlSF, 5685638]
[paragraph, [315.0, 1758.0, 1182.0, 36.0], n08b22YlSF, 5685638]
[paragraph, [315.0, 1794.0, 1182.0, 36.0], n08b22YlSF, 5685638]
[paragraph, [315.0, 1830.0, 1182.0, 36.0], n08b22YlSF, 5685638]
[paragraph, [315.0, 1866.0, 1182.0, 36.0], n08b22YlSF, 5685638]
[paragraph, [315.0, 1902.0, 1182.0, 36.0], n08b22YlSF, 5685638]
[paragraph, [313.0, 1947.0, 1182.0, 36.0], 1qTeEXTco7, 5685638]
[paragraph, [313.0, 1983.0, 1182.0, 36.0], 1qTeEXTco7, 5685638]
[paragraph, [313.0, 2019.0, 1182.0, 36.0], 1qTeEXTco7, 5685638]
[paragraph, [313.0, 2055.0, 1182.0, 36.0], 1qTeEXTco7, 5685638]
[folio, [174.0, 2106.0, 197.0, 36.0], shoonya_8sJFL8PKSOXUM7, 5685638]
