[2806, 1984]
[section-title, [445.0, 87.0, 1087.0, 79.5], shoonya_3sO3QGE5J70FR0, 5698340]
[ordered-list, [296.0, 187.0, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 233.5, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 280.0, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 326.5, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 373.0, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 419.5, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 466.0, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 512.5, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 559.0, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 605.5, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 652.0, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 698.5, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 745.0, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 791.5, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 838.0, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[ordered-list, [296.0, 884.5, 1487.0, 46.5], shoonya_8sDLX7J4EIH4PA, 5698340]
[paragraph, [334.0, 939.0, 1420.0, 46.5], shoonya_4sY9FBKMQPNR2X, 5698340]
[paragraph, [334.0, 985.5, 1420.0, 46.5], shoonya_4sY9FBKMQPNR2X, 5698340]
