[1447, 1063]
[folio, [431.0, 56.0, 197.0, 18.0], s_YpKipe-R, 5762735]
[headline, [126.0, 99.0, 805.0, 25.5], -tnORMWeZ_, 5762735]
[headline, [126.0, 124.5, 805.0, 25.5], -tnORMWeZ_, 5762735]
[paragraph, [93.0, 161.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 179.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 197.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 215.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 233.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 251.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 269.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 287.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 305.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 323.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 341.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 359.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 377.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 395.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 413.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 431.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 449.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [93.0, 467.0, 428.0, 18.0], _IF1gM-HNM, 5762735]
[paragraph, [540.0, 164.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 182.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 200.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 218.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 236.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 254.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 272.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 290.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 308.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 326.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 344.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 362.0, 428.0, 18.0], ZPfrNAZaro, 5762735]
[paragraph, [540.0, 393.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 411.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 429.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 447.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 465.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 483.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 501.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 519.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 537.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 555.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 573.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 591.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 609.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 627.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 645.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 663.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 681.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 699.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 717.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 735.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [540.0, 753.0, 424.0, 18.0], 5AZD0kuMqa, 5762735]
[paragraph, [92.0, 502.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 520.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 538.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 556.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 574.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 592.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 610.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 628.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 646.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 664.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
[paragraph, [92.0, 682.0, 432.0, 18.0], vu6NCYXmHZ, 5762735]
