[1388, 886]
[folio, [368.0, 63.0, 135.0, 18.0], shoonya_0sFO65LI15D5ED, 5742652]
[folio, [642.0, 63.0, 204.0, 18.0], shoonya_4s0ECEHOH3E3GE, 5742652]
[paragraph, [16.0, 120.0, 402.0, 18.0], shoonya_2sW9FHNS9NXSG7, 5742652]
[paragraph, [16.0, 138.0, 402.0, 18.0], shoonya_2sW9FHNS9NXSG7, 5742652]
[paragraph, [16.0, 156.0, 402.0, 18.0], shoonya_2sW9FHNS9NXSG7, 5742652]
[paragraph, [16.0, 174.0, 402.0, 18.0], shoonya_2sW9FHNS9NXSG7, 5742652]
[paragraph, [16.0, 192.0, 402.0, 18.0], shoonya_2sW9FHNS9NXSG7, 5742652]
[paragraph, [16.0, 210.0, 402.0, 18.0], shoonya_2sW9FHNS9NXSG7, 5742652]
[paragraph, [16.0, 228.0, 402.0, 18.0], shoonya_2sW9FHNS9NXSG7, 5742652]
[paragraph, [16.0, 246.0, 402.0, 18.0], shoonya_2sW9FHNS9NXSG7, 5742652]
[paragraph, [445.0, 120.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 138.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 156.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 174.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 192.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 210.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 228.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 246.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 264.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 282.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 300.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 318.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 336.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [445.0, 354.0, 407.0, 18.0], shoonya_5sDOWCI7PNI6FZ, 5742652]
[paragraph, [13.0, 267.0, 344.0, 18.0], lrI0p-1UZO, 5742652]
[paragraph, [13.0, 285.0, 344.0, 18.0], lrI0p-1UZO, 5742652]
[paragraph, [13.0, 303.0, 344.0, 18.0], lrI0p-1UZO, 5742652]
[paragraph, [13.0, 321.0, 344.0, 18.0], lrI0p-1UZO, 5742652]
[paragraph, [13.0, 339.0, 344.0, 18.0], lrI0p-1UZO, 5742652]
[paragraph, [13.0, 357.0, 344.0, 18.0], lrI0p-1UZO, 5742652]
[paragraph, [24.0, 382.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [24.0, 400.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [24.0, 418.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [24.0, 436.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [24.0, 454.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [24.0, 472.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [24.0, 490.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [24.0, 508.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [24.0, 526.0, 357.0, 18.0], Iu9frE4X1B, 5742652]
[paragraph, [449.0, 391.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 409.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 427.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 445.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 463.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 481.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 499.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 517.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 535.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 553.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 571.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 589.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 607.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 625.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 643.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 661.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 679.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 697.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 715.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 733.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 751.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 769.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 787.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 805.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 823.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 841.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 859.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 877.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 895.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 913.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 931.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 949.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 967.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 985.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1003.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1021.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1039.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1057.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1075.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1093.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1111.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1129.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1147.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1165.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1183.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1201.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
[paragraph, [449.0, 1219.0, 409.0, 18.0], BpUiB6cRL_, 5742652]
