[576, 360]
[author, [120.0, 87.0, 119.0, 18.0], IGpbY3s1HV, 6514601]
[paragraph, [32.0, 128.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 146.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 164.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 182.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 200.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 218.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 236.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 254.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 272.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 290.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 308.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 326.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 344.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 362.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 380.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 398.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 416.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 434.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 452.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 470.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 488.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
[paragraph, [32.0, 506.0, 299.0, 18.0], shoonya_0sMYFTO5RASF42, 6514601]
