[1728, 1123]
[headline, [147.0, 298.0, 680.0, 37.5], shoonya_0sZVD3KD11X0PV, 5753123]
[author, [277.0, 364.0, 162.0, 36.0], flbsSIDHnN, 5753123]
[paragraph, [95.0, 441.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 477.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 513.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 549.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 585.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 621.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 657.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 693.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 729.0, 787.0, 36.0], 90IsMKilCX, 5753123]
[paragraph, [95.0, 775.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [95.0, 811.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [95.0, 847.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [95.0, 883.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [95.0, 919.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [95.0, 955.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [95.0, 991.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [95.0, 1027.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [95.0, 1063.0, 783.0, 36.0], 5yy14VPWhe, 5753123]
[paragraph, [92.0, 1148.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1184.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1220.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1256.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1292.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1328.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1364.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1400.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1436.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1472.0, 790.0, 36.0], crmMv-Dhup, 5753123]
[paragraph, [92.0, 1508.0, 790.0, 36.0], crmMv-Dhup, 5753123]
