[542, 329]
[folio, [80.0, 8.0, 204.0, 18.0], FoqEEEtKY7, 5701256]
[paragraph, [8.0, 34.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [8.0, 52.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [8.0, 70.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [8.0, 88.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [8.0, 106.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [8.0, 124.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [8.0, 142.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [8.0, 160.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [8.0, 178.0, 306.0, 18.0], shoonya_0sASUFRW5UNE3I, 5701256]
[paragraph, [42.0, 202.0, 276.0, 18.0], BrckWyTeYt, 5701256]
[sidebar, [5.0, 220.0, 63.0, 18.0], yFiuuQzjpA, 5701256]
[sidebar, [5.0, 238.0, 63.0, 18.0], yFiuuQzjpA, 5701256]
[sidebar, [5.0, 256.0, 63.0, 18.0], yFiuuQzjpA, 5701256]
[sidebar, [5.0, 274.0, 63.0, 18.0], yFiuuQzjpA, 5701256]
[sidebar, [5.0, 292.0, 63.0, 18.0], yFiuuQzjpA, 5701256]
[paragraph, [68.0, 221.0, 246.0, 18.0], shoonya_1sD06QQFJ7OGZ5, 5701256]
[paragraph, [68.0, 239.0, 246.0, 18.0], shoonya_1sD06QQFJ7OGZ5, 5701256]
[paragraph, [68.0, 257.0, 246.0, 18.0], shoonya_1sD06QQFJ7OGZ5, 5701256]
[paragraph, [68.0, 275.0, 246.0, 18.0], shoonya_1sD06QQFJ7OGZ5, 5701256]
[paragraph, [68.0, 293.0, 246.0, 18.0], shoonya_1sD06QQFJ7OGZ5, 5701256]
[paragraph, [68.0, 311.0, 246.0, 18.0], shoonya_1sD06QQFJ7OGZ5, 5701256]
[paragraph, [14.0, 340.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 358.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 376.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 394.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 412.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 430.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 448.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 466.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 484.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
[paragraph, [14.0, 502.0, 298.0, 18.0], shoonya_2s6AEAXVBZYGZ1, 5701256]
