[1037, 682]
[paragraph, [66.0, 56.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 74.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 92.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 110.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 128.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 146.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 164.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 182.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 200.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 218.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 236.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 254.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 272.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 290.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 308.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 326.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 344.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 362.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 380.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 398.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 416.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 434.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 452.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 470.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 488.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [66.0, 506.0, 559.0, 18.0], shoonya_1sN6SHY1XSM661, 5691037]
[paragraph, [65.0, 521.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 539.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 557.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 575.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 593.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 611.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 629.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 647.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 665.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 683.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 701.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 719.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 737.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 755.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [65.0, 773.0, 562.0, 18.0], shoonya_0sOVYDE31O8OEP, 5691037]
[paragraph, [69.0, 783.0, 558.0, 18.0], 8LboT5vixL, 5691037]
[paragraph, [69.0, 801.0, 558.0, 18.0], 8LboT5vixL, 5691037]
[paragraph, [69.0, 819.0, 558.0, 18.0], 8LboT5vixL, 5691037]
[paragraph, [69.0, 837.0, 558.0, 18.0], 8LboT5vixL, 5691037]
[paragraph, [69.0, 855.0, 558.0, 18.0], 8LboT5vixL, 5691037]
[paragraph, [69.0, 873.0, 558.0, 18.0], 8LboT5vixL, 5691037]
[paragraph, [69.0, 891.0, 558.0, 18.0], 8LboT5vixL, 5691037]
[paragraph, [69.0, 909.0, 558.0, 18.0], 8LboT5vixL, 5691037]
[paragraph, [69.0, 927.0, 558.0, 18.0], 8LboT5vixL, 5691037]
