[2067, 1567]
[folio, [1130.0, 190.0, 241.0, 36.0], shoonya_14sYHKJUHA1VJP, 5735484]
[folio, [189.0, 193.0, 140.0, 36.0], 7WYrr34YNy, 5735484]
[paragraph, [190.0, 248.0, 580.0, 36.0], shoonya_6sD8KAS93L11N1, 5735484]
[paragraph, [190.0, 284.0, 580.0, 36.0], shoonya_6sD8KAS93L11N1, 5735484]
[paragraph, [190.0, 320.0, 580.0, 36.0], shoonya_6sD8KAS93L11N1, 5735484]
[paragraph, [190.0, 356.0, 580.0, 36.0], shoonya_6sD8KAS93L11N1, 5735484]
[paragraph, [789.0, 254.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 290.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 326.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 362.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 398.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 434.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 470.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 506.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 542.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 578.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 614.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 650.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 686.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 722.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 758.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 794.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 830.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 866.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 902.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 938.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 974.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1010.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1046.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1082.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1118.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1154.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1190.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1226.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1262.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1298.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1334.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1370.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1406.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1442.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1478.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[paragraph, [789.0, 1514.0, 580.0, 36.0], shoonya_1sER9FKX2GIGD8, 5735484]
[author, [597.0, 429.0, 177.0, 36.0], shoonya_4sQSW7ZZHPY5Q6, 5735484]
[ordered-list, [199.0, 519.0, 582.0, 36.0], shoonya_13s4U3KJ0202T3, 5735484]
[ordered-list, [199.0, 555.0, 582.0, 36.0], shoonya_13s4U3KJ0202T3, 5735484]
