[2804, 1983]
[folio, [90.0, 152.0, 182.0, 46.5], 8bODhrgW0w, 5698827]
[options, [132.0, 545.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 591.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 638.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 684.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 731.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 777.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 824.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 870.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 917.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 963.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1010.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1056.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1103.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1149.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1196.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1242.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1289.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1335.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1382.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1428.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1475.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1521.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1568.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1614.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1661.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1707.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1754.0, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [132.0, 1800.5, 490.0, 46.5], 1OUZqcvF7d, 5698827]
[options, [1005.0, 557.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 603.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 650.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 696.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 743.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 789.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 836.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 882.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 929.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 975.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1022.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1068.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1115.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1161.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1208.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1254.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1301.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1347.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1394.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1440.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1487.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1533.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1580.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1626.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1673.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1719.5, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1766.0, 475.0, 46.5], aEg4xtphJi, 5698827]
[options, [1005.0, 1812.5, 475.0, 46.5], aEg4xtphJi, 5698827]
