[1387, 987]
[paragraph, [93.0, 95.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [93.0, 113.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [93.0, 131.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [93.0, 149.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [93.0, 167.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [93.0, 185.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [93.0, 203.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [93.0, 221.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [93.0, 239.0, 766.0, 18.0], shoonya_2sWRJCCA6YUGMD, 5653006]
[paragraph, [87.0, 275.0, 794.0, 18.0], shoonya_1sFYUU7UN74RIK, 5653006]
[paragraph, [87.0, 293.0, 794.0, 18.0], shoonya_1sFYUU7UN74RIK, 5653006]
[paragraph, [87.0, 311.0, 794.0, 18.0], shoonya_1sFYUU7UN74RIK, 5653006]
[paragraph, [87.0, 329.0, 794.0, 18.0], shoonya_1sFYUU7UN74RIK, 5653006]
[paragraph, [87.0, 347.0, 794.0, 18.0], shoonya_1sFYUU7UN74RIK, 5653006]
[paragraph, [87.0, 365.0, 794.0, 18.0], shoonya_1sFYUU7UN74RIK, 5653006]
[paragraph, [94.0, 402.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [94.0, 420.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [94.0, 438.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [94.0, 456.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [94.0, 474.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [94.0, 492.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [94.0, 510.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [94.0, 528.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [94.0, 546.0, 784.0, 18.0], 9IZdIUU_Yf, 5653006]
[paragraph, [93.0, 577.0, 784.0, 18.0], OB9oaty8BP, 5653006]
[paragraph, [93.0, 595.0, 784.0, 18.0], OB9oaty8BP, 5653006]
[paragraph, [93.0, 613.0, 784.0, 18.0], OB9oaty8BP, 5653006]
[paragraph, [93.0, 631.0, 784.0, 18.0], OB9oaty8BP, 5653006]
