[968, 612]
[folio, [280.0, 156.0, 70.0, 18.0], D_GlV_Rnrc, 6459446]
[paragraph, [97.0, 205.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 223.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 241.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 259.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 277.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 295.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 313.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 331.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 349.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 367.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 385.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 403.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 421.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 439.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 457.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 475.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 493.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 511.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 529.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 547.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 565.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 583.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 601.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 619.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 637.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 655.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 673.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 691.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 709.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 727.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 745.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 763.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 781.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 799.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 817.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 835.0, 438.0, 18.0], tkbMI59BTi, 6459446]
[paragraph, [97.0, 853.0, 438.0, 18.0], tkbMI59BTi, 6459446]
